,bezeichnung_kldb,median_brutto,average_brutto,code_kldb
412,31142 Wasserwirtschaft - Fachkraft,4355,4656,31142
413,31143 Wasserwirtschaft - Spezialist,5818,5894,31143
414,31144 Wasserwirtschaft - Experte,5702,5769,31144
415,"31152 Bauwerkserhaltung,-erneuerung-Fachkraft",2532,2931,31152
416,"31153 Bauwerkserhaltung,-erneuerung-Spezialist",4890,4615,31153
417,"31154 Bauwerkserhaltung,-erneuerung-Experte",0,,31154
418,"31163 Bausachverständ,-kontrolleure-Spezialist",4053,4503,31163
419,"31164 Bausachverständige,-kontrolleure-Experte",5208,5563,31164
420,"31173 Bauabrechnung,-kalkulation - Spezialist",5114,5468,31173
421,"31174 Bauabrechnung, -kalkulation - Experte",5643,5564,31174
422,"31193 Aufsicht-Bauplan.,-überwach.,Architektur",5364,5606,31193
423,"31194 Führung-Bauplan.,-überwach., Architektur",5319,5664,31194
424,31212 Vermessungstechnik - Fachkraft,3680,3850,31212
425,31213 Vermessungstechnik - Spezialist,4488,4769,31213
426,31214 Vermessungstechnik - Experte,4749,5026,31214
427,31222 Kartografie - Fachkraft,3369,3425,31222
428,31223 Kartografie - Spezialist,4361,4569,31223
429,31224 Kartografie - Experte,6099,6267,31224
430,32101 Hochbau (o.S.) - Helfer,2575,2651,32101
431,32102 Hochbau (o.S.) - Fachkraft,3217,3233,32102
432,32103 Hochbau (o.S.) - Spezialist,5203,5314,32103
433,32104 Hochbau (o.S.) - Experte,5131,5680,32104
434,32112 Beton- und Stahlbetonbau - Fachkraft,3235,3316,32112
435,32113 Beton- und Stahlbetonbau - Spezialist,4763,5265,32113
436,32122 Maurerhandwerk - Fachkraft,3327,3266,32122
437,32123 Maurerhandwerk - Spezialist,4374,4340,32123
438,32132 Schornsteinbau - Fachkraft,4027,3994,32132
439,32142 Dachdeckerei - Fachkraft,2865,3043,32142
440,32152 Fassadenbau - Fachkraft,0,,32152
441,32162 Gerüstbau - Fachkraft,3441,3548,32162
442,32172 Bauwerksabbruch - Fachkraft,2953,2995,32172
443,32193 Aufsicht - Hochbau,4588,4681,32193
444,32201 Tiefbau (o.S.) - Helfer,2922,2994,32201
445,32202 Tiefbau (o.S.) - Fachkraft,3300,3399,32202
446,32203 Tiefbau (o.S.) - Spezialist,4000,4399,32203
447,32204 Tiefbau (o.S.) - Experte,6055,6410,32204
448,"32212 Pflasterer, Steinsetzer - Fachkraft",3008,3026,32212
449,32222 Straßen- und Asphaltbau - Fachkraft,3398,3499,32222
450,32223 Straßen- und Asphaltbau - Spezialist,5255,5810,32223
451,32224 Straßen- und Asphaltbau - Experte,6209,6505,32224
452,32232 Gleisbau - Fachkraft,4090,4422,32232
453,32233 Gleisbau - Spezialist,6452,6851,32233
454,32242 Brunnenbau - Fachkraft,4028,3979,32242
455,32243 Brunnenbau - Spezialist,0,,32243
456,32252 Kanal- und Tunnelbau - Fachkraft,3197,3315,32252
457,32253 Kanal- und Tunnelbau - Spezialist,4755,4637,32253
458,32262 Kultur- und Wasserbau - Fachkraft,3473,3557,32262
459,32263 Kultur- und Wasserbau - Spezialist,4682,4819,32263
460,32264 Kultur- und Wasserbau - Experte,5400,5876,32264
461,32293 Aufsicht - Tiefbau,5260,5544,32293
462,33101 Bodenverlegung (o.S.) - Helfer,2784,2717,33101
463,33102 Bodenverlegung (o.S.) - Fachkraft,2564,2655,33102
464,"33112 Fliesen-Platten-,Mosaikverleg.-Fachkraft",3084,3187,33112
465,"33122 Estrich-, Terrazzoverlegung - Fachkraft",3334,3318,33122
466,33132 Parkettverlegung - Fachkraft,3263,3177,33132
467,33133 Parkettverlegung - Spezialist,0,,33133
468,33193 Aufsicht - Bodenverlegung,0,,33193
469,"33211 Maler-, Lackiererarbeiten - Helfer",2408,2588,33211
470,"33212 Maler-, Lackiererarbeiten - Fachkraft",2833,2908,33212
471,"33213 Maler-, Lackiererarbeiten - Spezialist",2975,3021,33213
472,33222 Stuckateurarbeiten - Fachkraft,3212,3226,33222
473,33223 Stuckateurarbeiten - Spezialist,0,,33223
474,33232 Bauwerksabdichtung - Fachkraft,0,,33232
475,33233 Bauwerksabdichtung - Spezialist,0,,33233
476,33242 Holz- und Bautenschutz - Fachkraft,3366,3673,33242
477,33243 Holz- und Bautenschutz - Spezialist,0,,33243
478,33293 Aufsicht-MalerStuckBauwerksabdBautensch.,3603,3981,33293
479,33301 Aus- und Trockenbau (o.S.) - Helfer,2560,2509,33301
480,33302 Aus- und Trockenbau (o.S.) - Fachkraft,2878,2970,33302
481,33303 Aus- und Trockenbau (o.S.) - Spezialist,0,,33303
482,33312 Isolierung - Fachkraft,3389,3487,33312
483,33322 Zimmerei - Fachkraft,3353,3378,33322
484,33323 Zimmerei - Spezialist,3830,4042,33323
485,33332 Bautischlerei - Fachkraft,2900,2985,33332
486,33342 Glaserei - Fachkraft,3162,3292,33342
487,33352 Rollladen- und Jalousiebau - Fachkraft,2885,2869,33352
488,"33393 Aufsicht-Aus-,Trockenbau.Iso.Zimm.Glas.",4168,4394,33393
489,34102 Gebäudetechnik (o.S.) - Fachkraft,2963,3025,34102
490,34103 Gebäudetechnik (o.S.) - Spezialist,3815,4006,34103
491,34104 Gebäudetechnik (o.S.) - Experte,5720,6083,34104
492,"34112 Platz-, Gerätewarte/innen - Fachkraft",2630,2885,34112
493,34193 Aufsicht - Gebäudetechnik,4298,4652,34193
494,34201 Klempnerei (o.S.) - Helfer,2540,2776,34201
495,34202 Klempnerei (o.S.) - Fachkraft,3244,3342,34202
496,34203 Klempnerei (o.S.) - Spezialist,4065,4106,34203
497,"34212 Sanitär,Heizung,Klimatechnik - Fachkraft",3236,3412,34212
498,"34213 Sanitär,Heizung,Klimatechnik -Spezialist",3514,4038,34213
499,"34214 Sanitär,Heizung,Klimatechnik - Experte",5471,6057,34214
500,34222 Ofen- und Luftheizungsbau - Fachkraft,3743,3860,34222
501,34232 Kältetechnik - Fachkraft,3597,3923,34232
502,34233 Kältetechnik - Spezialist,4277,4630,34233
503,34234 Kältetechnik - Experte,4400,4679,34234
504,"34293 Aufsicht-Klemp.Sanitär,Heizung,Klimatech",4466,4620,34293
505,34301 Ver- und Entsorgung (o.S.) - Helfer,2969,2977,34301
506,34302 Ver- und Entsorgung (o.S.) - Fachkraft,3523,3804,34302
507,34303 Ver- und Entsorgung (o.S.) - Spezialist,5043,5124,34303
508,34304 Ver- und Entsorgung (o.S.) - Experte,5452,6049,34304
509,"34312 Wasserversorg.,Abwassertechn.-Fachkraft",3782,3887,34312
510,"34313 Wasserversorg.,Abwassertechn.-Spezialist",4445,4756,34313
511,"34314 Wasserversorg.,Abwassertechn.-Experte",7150,6653,34314
512,34322 Rohrleitungsbau - Fachkraft,3466,3622,34322
513,34323 Rohrleitungsbau - Spezialist,5403,5283,34323
514,34324 Rohrleitungsbau - Experte,5892,6325,34324
515,34332 Abfallwirtschaft - Fachkraft,2933,3102,34332
516,34333 Abfallwirtschaft - Spezialist,4070,3888,34333
517,34334 Abfallwirtschaft - Experte,5621,5882,34334
518,"34342 Anlagen-,Behälter-,Apparatebau-Fachkraft",3527,3784,34342
519,"34343 Anlage-,Behälter-,Apparatebau-Spezialist",4786,4979,34343
520,"34344 Anlagen-,Behälter-,Apparatebau-Experte",6012,6690,34344
521,34393 Aufsicht - Ver- und Entsorgung,5142,5337,34393
522,41103 Mathematik (o.S.) - Spezialist,5497,5650,41103
523,41104 Mathematik (o.S.) - Experte,6106,6879,41104
524,41114 Statistik - Experte,5382,5701,41114
525,41184 Mathematik (s.s.T.) - Experte,6159,6510,41184
526,41194 Führung - Mathematik und Statistik,0,,41194
527,41203 Biologie (o.S.) - Spezialist,4184,4177,41203
528,41204 Biologie (o.S.) - Experte,5545,5745,41204
529,41212 Biologisch-techn. Laboratorium-Fachkraft,3680,3960,41212
530,41213 Biologisch-techn.Laboratorium-Spezialist,4506,4942,41213
531,41214 Biologisch-techn.Laboratorium-Experte,5100,5444,41214
532,41222 Biologische Präparation - Fachkraft,3294,3385,41222
533,41234 Biologie (Ökologie) - Experte,4499,4884,41234
534,41244 Biologie (Botanik) - Experte,0,,41244
535,41254 Biologie (Zoologie) - Experte,4911,5166,41254
536,41264 Biologie (Mikrobiologie) - Experte,5240,6043,41264
537,41274 Biologie (Humanbiologie) - Experte,5703,6240,41274
538,41283 Biologie (s.s.T.) - Spezialist,5314,5400,41283
539,41284 Biologie (s.s.T.) - Experte,5216,5501,41284
540,41293 Aufsicht - Biologie,5881,6004,41293
541,41294 Führung - Biologie,0,,41294
542,41303 Chemie (o.S.) - Spezialist,5501,5522,41303
543,41304 Chemie (o.S.) - Experte,7007,8136,41304
544,41311 Chemie- und Pharmatechnik - Helfer,3200,3382,41311
545,41312 Chemie- und Pharmatechnik - Fachkraft,4405,4652,41312
546,41313 Chemie- und Pharmatechnik - Spezialist,5732,6110,41313
547,41314 Chemie- und Pharmatechnik - Experte,6635,7164,41314
548,41322 Chemisch-techn. Laboratorium - Fachkraft,3928,4189,41322
549,41323 Chemisch-techn.Laboratorium - Spezialist,4895,5000,41323
550,41324 Chemisch-techn.Laboratorium - Experte,5110,5609,41324
551,41333 Steuerer chem. Verfahrensanl.-Spezialist,3708,3974,41333
552,"41343 Steuerer Erdöl,Erdgasraf.anl.-Spezialist",6904,7220,41343
553,41383 Chemie (s.s.T.) - Spezialist,5264,5408,41383
554,41384 Chemie (s.s.T.) - Experte,4919,5468,41384
555,41393 Aufsicht - Chemie,6571,6953,41393
556,41394 Führung - Chemie,8065,8341,41394
557,41403 Physik (o.S.) - Spezialist,4535,4509,41403
558,41404 Physik (o.S.) - Experte,5870,5992,41404
559,41412 Physikalisch-tech.Laboratorium-Fachkraft,4027,4340,41412
560,41413 Physikal.-techn. Laboratorium-Spezialist,4891,5242,41413
561,41414 Physikalisch-techn. Laboratorium-Experte,6000,6508,41414
562,41422 Werkstofftechnik - Fachkraft,3888,4034,41422
563,41423 Werkstofftechnik - Spezialist,5268,5408,41423
564,41424 Werkstofftechnik - Experte,6000,6173,41424
565,41432 Baustoffprüfung - Fachkraft,3603,3777,41432
566,41433 Baustoffprüfung - Spezialist,4723,4758,41433
567,41434 Baustoffprüfung - Experte,4409,4852,41434
568,41482 Physik (s.s.T.) - Fachkraft,4881,5549,41482
569,41483 Physik (s.s.T.) - Spezialist,4311,4297,41483
570,41484 Physik (s.s.T.) - Experte,5962,6100,41484
571,41493 Aufsicht - Physik,6209,7041,41493
572,41494 Führung - Physik,6118,6798,41494
573,42112 Geotechnik - Fachkraft,3600,3598,42112
574,42113 Geotechnik - Spezialist,4042,4608,42113
575,42114 Geotechnik - Experte,5074,6073,42114
576,42124 Geologie - Experte,5330,6035,42124
577,42134 Geografie - Experte,4350,4646,42134
578,42142 Meteorologie - Fachkraft,3554,3648,42142
579,42143 Meteorologie - Spezialist,4678,4650,42143
580,42144 Meteorologie - Experte,5696,5858,42144
581,42202 Umweltschutztechnik (o.S.) - Fachkraft,3794,4115,42202
582,42203 Umweltschutztechnik (o.S.) - Spezialist,4691,4637,42203
583,42204 Umweltschutztechnik (o.S.) - Experte,5150,5397,42204
584,42212 Schornsteinfeger/innen - Fachkraft,3655,3572,42212
585,42283 Umweltschutztechnik(s.s.T.) - Spezialist,4567,5008,42283
586,42293 Aufsicht - Umweltschutztechnik,6857,6188,42293
587,"42312 Umweltschutzverwalt.,-beratung-Fachkraft",0,,42312
588,"42313 Umweltschutzverwalt,-beratung-Spezialist",4635,4778,42313
589,"42314 Umweltschutzverwaltung,-beratung-Experte",5725,5701,42314
590,"42323 Gewäs.Immissions,Abfallbeauf.-Spezialist",0,,42323
591,"42324 Gewäs.Immissions,Abfallbeauf.-Experte",4913,5115,42324
592,42333 Strahlenschutzbeauftragte - Spezialist,3976,4372,42333
593,42334 Strahlenschutzbeauftragte - Experte,4344,4798,42334
594,42394 Führung - Umweltmanagement und -beratung,10000,10753,42394
595,43102 Informatik (o.S.) - Fachkraft,4545,4997,43102
596,43103 Informatik (o.S.) - Spezialist,6304,6623,43103
597,43104 Informatik (o.S.) - Experte,5998,6334,43104
598,43112 Wirtschaftsinformatik - Fachkraft,4441,5158,43112
599,43113 Wirtschaftsinformatik - Spezialist,5427,5565,43113
600,43114 Wirtschaftsinformatik - Experte,5769,6334,43114
601,43122 Technische Informatik - Fachkraft,4695,4968,43122
602,43123 Technische Informatik - Spezialist,4170,4590,43123
603,43124 Technische Informatik - Experte,5535,5861,43124
604,"43134 Bio-, Medizininformatik - Experte",5545,5969,43134
605,43144 Geoinformatik - Experte,4200,4430,43144
606,43152 Medieninformatik - Fachkraft,3769,4093,43152
607,43153 Medieninformatik - Spezialist,0,,43153
608,43154 Medieninformatik - Experte,4500,4758,43154
609,43194 Führung - Informatik,9575,10336,43194
610,43214 IT-Systemanalyse - Experte,6065,6234,43214
611,43223 IT-Anwendungsberatung - Spezialist,5427,5833,43223
612,43224 IT-Anwendungsberatung - Experte,5708,6037,43224
613,43232 IT-Vertrieb - Fachkraft,4410,5098,43232
614,43233 IT-Vertrieb - Spezialist,5390,6356,43233
615,"43294 Führung-IT-System,-Anwendung,-Vertrieb",7898,8686,43294
616,43312 IT-Netzwerktechnik - Fachkraft,0,,43312
617,43313 IT-Netzwerktechnik - Spezialist,5427,5646,43313
618,43314 IT-Netzwerktechnik - Experte,5452,6228,43314
619,43323 IT-Koordination - Spezialist,5333,5517,43323
620,43333 IT-Organisation - Spezialist,5359,5697,43333
621,43343 IT-Systemadministation - Spezialist,4885,5117,43343
622,"43353 Datenbankentwick.,-administr.-Spezialist",5483,5828,43353
623,43363 Webadministration - Spezialist,5255,5465,43363
624,"43383 IT-Netzw,Koord,Admin,Org(ssT)-Spezialist",5795,6007,43383
625,"43384 IT-Netzw.,Koord.,Admin,Orga(ssT)-Experte",5801,6337,43384
626,"43394 Führung-IT-Netzw.,-Koord.,-Admin.,-Orga.",7285,7875,43394
627,43412 Softwareentwicklung - Fachkraft,4400,4648,43412
628,43413 Softwareentwicklung - Spezialist,5808,6025,43413
629,43414 Softwareentwicklung - Experte,5635,5881,43414
630,43423 Programmierung - Spezialist,4980,5313,43423
631,"43494 Führung-Softwareentwickl.,Programmierung",7787,8080,43494
632,51112 Technischer Eisenbahnbetrieb - Fachkraft,3090,2891,51112
633,51113 Technischer Eisenbahnbetrieb -Spezialist,3390,3693,51113
634,51122 Techn. Luftverkehrsbetrieb - Fachkraft,3749,4209,51122
635,51123 Techn. Luftverkehrsbetrieb - Spezialist,5404,5477,51123
636,51132 Techn. Schiffsverkehrsbetrieb-Fachkraft,3460,3539,51132
637,51133 Techn. Schiffsverkehrsbetrieb-Spezialist,6318,6602,51133
638,51134 Techn. Schiffsverkehrsbetrieb - Experte,6762,6774,51134
639,51182 TechBetEisenbLuftSchiffsv(ssT)-Fachkraft,0,,51182
640,51183 TechBetEisenbLuftSchiffv(ssT)-Spezialist,0,,51183
641,51193 Aufsicht-TechBetr.Eisenb.LuftSchiffsverk,0,,51193
642,"51212 Straßen-, Tunnelwärter/innen - Fachkraft",3700,3784,51212
643,51222 Wart. Eisenbahninfrastruktur - Fachkraft,3057,3246,51222
644,51223 Wart. Eisenbahninfrastruktur -Spezialist,4350,4480,51223
645,51224 Wart. Eisenbahninfrastruktur - Experte,4730,5391,51224
646,51233 Flugsicherungstechnik - Spezialist,9214,8123,51233
647,51234 Flugsicherungstechnik - Experte,8961,8602,51234
648,"51242 Wasserstraßen-,Brückenwärter - Fachkraft",4632,4401,51242
649,"51243 Wasserstraßen-, Brückenwärter-Spezialist",4139,4251,51243
650,"51293 Aufsicht - Überw.,Wart.Verkehrsinfraktur",3686,3963,51293
651,51311 Lagerwirtschaft - Helfer,2649,2776,51311
652,51312 Lagerwirtschaft - Fachkraft,2981,3160,51312
653,51321 Post- und Zustelldienste - Helfer,2659,2914,51321
654,51322 Post- und Zustelldienste - Fachkraft,3542,3591,51322
655,51332 Güter- und Warenumschlag - Fachkraft,3299,3712,51332
656,"51393 Aufsicht-Lagerw.,Post,Zustell.,Güterum.",4011,4279,51393
657,"51394 Führung-Lagerw.,Post,Zustell.,Güterum.",4332,4703,51394
658,51401 Servicekräfte Personenverk.(o.S.)-Helfer,2627,2756,51401
659,51412 Servicefachk.StraßenSchienenv.-Fachkraft,2982,3181,51412
660,51422 Servicefachkräfte Luftverkehr-Fachkraft,3474,3740,51422
661,51432 Servicefachkräfte Schiffsverk.-Fachkraft,3601,3825,51432
662,51493 Aufsicht-Personenverkehr(Servicebereich),3686,3833,51493
663,51503 Überwach. Verkehrsbetrieb(oS)-Spezialist,4320,4380,51503
664,51504 Überwach. Verkehrsbetrieb (oS) - Experte,3664,4540,51504
665,51511 Überwach. Straßenverkehrsbetr.-Helfer,0,,51511
666,51512 Überwach. Straßenverkehrsbetr.-Fachkraft,3831,3779,51512
667,51513 Überwach. Straßenverkehrsbetr-Spezialist,4407,4796,51513
668,51522 Überwach.Eisenbahnverkehrsbetr-Fachkraft,3263,3481,51522
669,51523 Überwach.Eisenbahnverkehrsbet-Spezialist,4894,5607,51523
670,51532 Überwachung Luftverkehrsbetr.-Fachkraft,3444,3988,51532
671,51533 Überwachung Luftverkehrsbetr.-Spezialist,11716,10380,51533
672,51534 Überwachung Luftverkehrsbetr. -Experte,5870,8582,51534
673,51543 Überwach.Schiffsverkehrsbetr.-Spezialist,2560,3001,51543
674,51583 Überwach.Verkehrsbetrieb(ssT)-Spezialist,4860,5223,51583
675,51593 Aufsicht - Überwachung Verkehrsbetrieb,3773,3999,51593
676,51594 Führung - Überwachung Verkehrsbetrieb,5273,5946,51594
677,51613 Verkehrskaufleute - Spezialist,0,,51613
678,51614 Verkehrskaufleute - Experte,6126,6153,51614
679,"51622 Speditions-,Logistikkaufleute-Fachkraft",3518,3887,51622
680,"51623 Speditions-,Logistikkaufleute-Spezialist",3888,4269,51623
681,"51624 Speditions-, Logistikkaufleute - Experte",3447,4274,51624
682,"51632 Straßen,Schienenverkehrskaufl.-Fachkraft",3775,4041,51632
683,"51633 Straße,Schienenverkehrskaufl.-Spezialist",0,,51633
684,51642 Luftverkehrskaufleute - Fachkraft,3900,4049,51642
685,51643 Luftverkehrskaufleute - Spezialist,3800,4201,51643
686,51652 Schifffahrtskaufleute - Fachkraft,5000,5528,51652
687,51653 Schifffahrtskaufleute - Spezialist,5806,6497,51653
688,51662 KurierExpressPostdienstl.kaufl-Fachkraft,4416,4333,51662
689,51663 KurierExpressPostdienst.kaufl-Spezialist,6559,7723,51663
690,"51694 Führung-Verkehr,Logistik (kaufm.Bereich)",5620,6445,51694
691,52112 Berufskraftfahrer(Pers./PKW.)-Fachkraft,2201,2276,52112
692,52122 Berufskraftfahrer(Güterv./LKW)-Fachkraft,3000,3088,52122
693,"52132 Bus-, Straßenbahnfahrer/innen-Fachkraft",3162,3189,52132
694,52182 FahrzeugführerStraßenverk(ssT)-Fachkraft,2478,2594,52182
695,52202 TriebfahrzeugführEisenbahn(oS)-Fachkraft,3758,3862,52202
696,52313 PilotenVerkehrsflugzeugführer-Spezialist,11050,11093,52313
697,"52314 Piloten,Verkehrsflugzeugführer - Experte",14120,14449,52314
698,52383 Fahrzeugführer Flugverk.(ssT)-Spezialist,2500,3583,52383
699,52384 Fahrzeugführer Flugverkehr (ssT)-Experte,25630,25340,52384
700,"52413 NautSchiffsoffiziere,Kapitäne-Spezialist",5460,5389,52413
701,"52414 Naut.Schiffsoffiziere, Kapitäne-Experte",5911,6427,52414
702,"52422 Schiffsführ.Binnen-,Hafenverk.-Fachkraft",3278,3301,52422
703,"52423 Schiffsführ.Binnen,Hafenverk.-Spezialist",0,,52423
704,"52512 Führer land-,forstw. Maschinen-Fachkraft",2865,2955,52512
705,"52522 Führer Erdbeweg,verw.Maschinen-Fachkraft",3445,3539,52522
706,"52531 Kranführ., Bediener Hebeeinricht.-Helfer",2863,2935,52531
707,52532 Kranführ.BedienerHebeeinricht.-Fachkraft,3654,3865,52532
708,"52593 Aufsicht - Bau-, Transportgeräteführung",4590,4728,52593
709,"53111 Objekt-, Werte-, Personenschutz - Helfer",2711,2854,53111
710,"53112 Objekt-,Werte-, Personenschutz-Fachkraft",3260,3378,53112
711,"53122 Arbeitssicherh.,Sich.-technik-Fachkraft",5198,5087,53122
712,"53123 Arbeitssicherh.,Sich.-technik-Spezialist",4349,4604,53123
713,"53124 Arbeitssicherh.,Sich.-technik-Experte",5311,5721,53124
714,53132 Brandschutz - Fachkraft,3746,4005,53132
715,53133 Brandschutz - Spezialist,4390,4461,53133
716,53134 Brandschutz - Experte,6032,6142,53134
717,53142 Badeaufsicht - Fachkraft,3139,3219,53142
718,53152 Detektive/Detektivinnen - Fachkraft,0,,53152
719,53162 Inkassobeauftragte - Fachkraft,3816,3921,53162
720,53182 Obj.Pers.Brandschutz (ssT)-Fachkraft,3752,4509,53182
721,53183 Obj.Pers.Brandschutz (ssT)-Spezialist,3529,3810,53183
722,53184 Obj.Pers.Brandschutz (ssT)-Experte,5678,6198,53184
723,"53193 Aufsicht-Objekt,Brandschutz,Arbeitssich.",4685,4904,53193
724,"53194 Führung-Objekt-,Brandschutz,Arbeitssich.",6015,6641,53194
725,53212 Polizeivollzugsdienst - Fachkraft,3231,3276,53212
726,53213 Polizeivollzugsdienst - Spezialist,4483,4457,53213
727,53214 Polizeivollzugsdienst - Experte,6185,6315,53214
728,53222 Kriminaldienst - Fachkraft,0,,53222
729,53223 Kriminaldienst - Spezialist,0,,53223
730,53224 Kriminaldienst - Experte,3599,3531,53224
731,53232 Gerichtsvollzug - Fachkraft,0,,53232
732,53233 Gerichtsvollzug - Spezialist,0,,53233
733,53241 Justizvollzugsdienst - Helfer,2623,2673,53241
734,53242 Justizvollzugsdienst - Fachkraft,3668,3638,53242
735,53243 Justizvollzugsdienst - Spezialist,4291,4333,53243
736,53244 Justizvollzugsdienst - Experte,6140,6278,53244
737,53312 Gewerbeaufsicht - Fachkraft,3351,3385,53312
738,53313 Gewerbeaufsicht - Spezialist,4364,4378,53313
739,53314 Gewerbeaufsicht - Experte,6186,6299,53314
740,"53322 Gesundheitsaufs.,Hygieneüberw.-Fachkraft",4227,4309,53322
741,53323 Gesundheitsaufs.Hygieneüberw.-Spezialist,4250,4387,53323
742,53332 Lebensmittelkontrolle - Fachkraft,3335,3642,53332
743,53333 Lebensmittelkontrolle - Spezialist,3778,4112,53333
744,"53342 Desinfekt., Schädlingsbekämpf.-Fachkraft",3327,3566,53342
745,"53393 Aufsicht-Gewerbe-, Gesundheitsaufsicht",0,,53393
746,"53394 Führung-Gewerbe-, Gesundheitsaufsicht",0,,53394
747,54101 Reinigung (o.S.) - Helfer,2388,2464,54101
748,54112 Gebäudereinigung - Fachkraft,2520,2573,54112
749,54113 Gebäudereinigung - Spezialist,3656,3695,54113
750,"54122 Glas-, Fensterreinigung - Fachkraft",3222,2997,54122
751,54132 Textilreinigung - Fachkraft,2280,2426,54132
752,"54142 Maschinen-, Anlagenreinigung - Fachkraft",3378,3583,54142
753,54152 Fahrzeugreinigung - Fachkraft,2531,2717,54152
754,54182 Reinigung (s.s.T.) - Fachkraft,2871,2956,54182
755,54193 Aufsicht - Reinigung,3748,3994,54193
756,61112 Einkauf - Fachkraft,3956,4357,61112
757,61113 Einkauf - Spezialist,4813,5279,61113
758,61122 Vertrieb (außer IKT) - Fachkraft,4002,4544,61122
759,61123 Vertrieb (außer IKT) - Spezialist,5174,5660,61123
760,61124 Vertrieb (außer IKT) - Experte,6462,6997,61124
761,"61132 Handelsmakler,Auktionatoren - Fachkraft",0,,61132
762,"61133 Handelsmakler,Auktionatoren - Spezialist",0,,61133
763,61142 Kaufleute Automatenservice - Fachkraft,2416,2603,61142
764,61152 Geld- und Pfandverleih - Fachkraft,0,,61152
765,61162 Verleih (außer Geld u. Pfand) -Fachkraft,3000,3195,61162
766,61194 Führung - Einkauf  und Vertrieb,7143,7857,61194
767,61203 Kaufleute im Handel (o.S.) - Spezialist,5252,5252,61203
768,61204 Kaufleute im Handel (o.S.) - Experte,0,,61204
769,"61212 Kaufleute Groß-, Außenhandel - Fachkraft",3426,3910,61212
770,"61213 Kaufleute Groß-, Außenhandel -Spezialist",5486,6186,61213
771,"61214 Kaufleute Groß-, Außenhandel - Experte",5859,6768,61214
772,61282 Kaufleute im Handel (s.s.T) - Fachkraft,3927,4664,61282
773,61283 Kaufleute im Handel (s.s.T) - Spezialist,4571,5269,61283
774,61284 Kaufleute im Handel (s.s.T.) - Experte,6380,7688,61284
775,61294 Führung - Handel,0,,61294
776,"61312 Immobilienvermarktung,-verwal.-Fachkraft",3810,4201,61312
777,"61313 Immobilienvermarktung,verwal.-Spezialist",3730,4646,61313
778,"61314 Immobilienvermarktung,-verwal.-Experte",6872,6775,61314
779,61323 Facility-Management - Spezialist,4000,4529,61323
780,"61394 Führung-Immobilienwirt., Facility-Manag.",5265,5465,61394
781,62101 Verkauf (ohne Produktspezialis.)-Helfer,2273,2199,62101
782,62102 Verkauf (ohne Produktspezial.)-Fachkraft,2776,3076,62102
783,62103 Verkauf (ohne Produktspez.) - Spezialist,3865,4109,62103
784,"62112 Kassierer, Kartenverkäufer - Fachkraft",2603,2760,62112
785,"62122 Verkaufsstand-,Marktverkäufer -Fachkraft",3312,3288,62122
786,62182 Verkauf (o. Produktspez) (ssT)-Fachkraft,3826,4422,62182
787,62183 Verkauf (o. Produktspez)(ssT)-Spezialist,3500,3765,62183
788,62193 Aufsicht - Verkauf,3967,4381,62193
789,62194 Führung - Verkauf,4500,5237,62194
790,"62212 Verkauf (Bekleid.,Leder,Sport)-Fachkraft",2380,2382,62212
791,"62222 Verkauf (Schmuck, Uhren) - Fachkraft",0,,62222
792,"62232 Verkauf (Büro,Geschenk,Spiel)-Fachkraft",2145,2507,62232
793,"62242 Verkauf (Elektro-,Hauswaltsw.)-Fachkraft",2755,3052,62242
794,"62252 Verkauf (Möbel, Einrichtung)-Fachkraft",3198,3654,62252
795,"62262 Verkauf (Garten,Heimwerk,Tier)-Fachkraft",2834,2959,62262
796,"62272 Verkauf (KFZ, Zweirad,Zubehör)-Fachkraft",3875,4742,62272
797,62282 Verkauf (ssT) - Fachkraft,2358,2752,62282
798,62301 Verkauf Lebensmittel (o.S.) - Helfer,0,,62301
799,62302 Verkauf Lebensmittel (o.S.) - Fachkraft,2657,2739,62302
800,"62312 Verkauf Back-,Konditoreiwaren-Fachkraft",2349,2451,62312
801,62322 Verkauf von Fleischwaren - Fachkraft,2369,2421,62322
802,62382 Verkauf Lebensmittel (s.s.T.)-Fachkraft,0,,62382
803,62412 Verkauf drog.apotheken.Waren-Fachkraft,2782,2888,62412
804,"62422 Verkauf Sanitäts,Medizinbedarf-Fachkraft",0,,62422
805,62512 Buchhandel - Fachkraft,2233,2385,62512
806,62513 Buchhandel - Spezialist,0,,62513
807,62514 Buchhandel - Experte,0,,62514
808,"62522 Kunst-, Antiquitätenhandel - Fachkraft",0,,62522
809,62532 Musikfachhandel - Fachkraft,0,,62532
810,63112 Tourismuskaufleute - Fachkraft,2939,3153,63112
811,63113 Tourismuskaufleute - Spezialist,4150,4294,63113
812,63114 Tourismuskaufleute - Experte,5000,5529,63114
813,"63122 Sport-,Fitnesskaufl.Sportmanag-Fachkraft",2472,2860,63122
814,"63123 Sport,Fitnesskaufl.Sportmanag-Spezialist",3027,3710,63123
815,"63124 Sport-,Fitnesskaufl.Sportmanag-Experte",0,,63124
816,63132 Animateure und Gästebetreuer - Fachkraft,2800,2874,63132
817,"63142 Reiseleiter, Fremdenführer - Fachkraft",2821,3117,63142
818,"63143 Reiseleiter, Fremdenführer - Spezialist",0,,63143
819,63194 Führung - Tourismus und Sport,3832,4297,63194
820,63212 Hotelkaufleute - Fachkraft,3209,3499,63212
