Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;VST047__Durchschn_Bruttomonatsverdienste_ohne_Sonderz__EUR;VST052__Mittlere_Bruttomonatsverdienste_ohne_Sonderz__EUR
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11294;Führung - Tierwirtschaft;4022;4000
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11302;Pferdewirtschaft (oS) - Fachkraft;2047;1975
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11312;Pferdewirtschaft - Pferdezucht - Fachkraft;/;/
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11322;Pferdewirtschaft - Reiten - Fachkraft;/;/
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11333;Hufbeschlagschmiede - Spezialist;.;.
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11342;Kutscher - Fachkraft;2853;2852
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11393;Aufsicht - Pferdewirtschaft;.;.
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11394;Führung - Pferdewirtschaft;.;.
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11401;Fischwirtschaft (oS) - Helfer;1886;1685
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11402;Fischwirtschaft (oS) - Fachkraft;2855;2588
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11412;Fischzucht - Fachkraft;3182;2800
62361;Verdiensterhebung;SMONAT;Stichmonat;Apr 23;DINSG;Deutschland insgesamt;DG;Deutschland;KB10A5;Berufsgattungen (KB2010), 5-Steller;KB10-11422;Fischerei - Fachkraft;/;/
