statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-2;Akademische Berufe;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;17190;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-9;Hilfsarbeitskräfte;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;10610;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-1;Führungskräfte;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;8110;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);;Insgesamt;ERWBV1;Stellung im Beruf;;Insgesamt;41043450;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-0;Angehörige der regulären Streitkräfte;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;144160;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-2;Akademische Berufe;ERWBV1;Stellung im Beruf;;Insgesamt;9039670;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-0;Angehörige der regulären Streitkräfte;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;/;Anzahl;ERW001;Erwerbstätige;
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-9;Hilfsarbeitskräfte;ERWBV1;Stellung im Beruf;;Insgesamt;2996300;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-3;Techniker und gleichrangige nichttechnische Berufe;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;7606820;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);;Insgesamt;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;271420;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-8;Bediener von Anlagen/Maschinen und Montageberufe;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;2225740;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-5;Dienstleistungsberufe und Verkäufer;ERWBV1;Stellung im Beruf;;Insgesamt;5758410;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-0;Angehörige der regulären Streitkräfte;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;/;Anzahl;ERW001;Erwerbstätige;
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-5;Dienstleistungsberufe und Verkäufer;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;249570;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-7;Handwerks- und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;216340;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);;Insgesamt;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;1937420;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);;Insgesamt;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;1598100;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-0;Angehörige der regulären Streitkräfte;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;6900;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-3;Techniker und gleichrangige nichttechnische Berufe;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;350420;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-9;Hilfsarbeitskräfte;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;2843590;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-8;Bediener von Anlagen/Maschinen und Montageberufe;ERWBV1;Stellung im Beruf;ERW-FAMILIE;Mithelfende Familienangehörige;5930;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-1;Führungskräfte;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;72240;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-1;Führungskräfte;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;1405510;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-5;Dienstleistungsberufe und Verkäufer;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;207380;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-6;Fachkräfte in Land-/Forstwirtschaft und Fischerei;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;334250;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-2;Akademische Berufe;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;1014560;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-1;Führungskräfte;ERWBV1;Stellung im Beruf;;Insgesamt;1877040;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-6;Fachkräfte in Land-/Forstwirtschaft und Fischerei;ERWBV1;Stellung im Beruf;ERW-BEAMT;Beamte/-innen;1430;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-8;Bediener von Anlagen/Maschinen und Montageberufe;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;32730;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-3;Techniker und gleichrangige nichttechnische Berufe;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;310100;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-2;Akademische Berufe;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;554630;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-6;Fachkräfte in Land-/Forstwirtschaft und Fischerei;ERWBV1;Stellung im Beruf;;Insgesamt;554230;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-6;Fachkräfte in Land-/Forstwirtschaft und Fischerei;ERWBV1;Stellung im Beruf;ERW-BESCH;Selbstständige mit Beschäftigten;99960;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-9;Hilfsarbeitskräfte;ERWBV1;Stellung im Beruf;ERW-BESCH-X;Selbstständige ohne Beschäftigte;35140;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-7;Handwerks- und verwandte Berufe;ERWBV1;Stellung im Beruf;ERW-ANGESTELLT;Angestellte/Arbeiter/-innen;4299950;Anzahl;ERW001;Erwerbstätige;e
2000S;Bevölkerung: Bildung, Erwerb (Stand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;ERWKL3;Beruf (Hauptgruppen ISCO-08);ISCO08-7;Handwerks- und verwandte Berufe;ERWBV1;Stellung im Beruf;;Insgesamt;4707970;Anzahl;ERW001;Erwerbstätige;e
