;;;;;;;Klassifikation der Berufe 2010 – überarbeitete Fassung 2020;
;;;;;;;;
Umsteigeschlüssel von der Klassifikation der Berufe 2010 – überarbeitete Fassung 2020 (5-Steller) zur ISCO-08 (4-Steller);;;;;;;;
;;;;;;;;
"KldB 2010
(5-Steller)";Bezeichnungen der KldB2010 (5-Steller);Classification title (English);"ISCO-08
(4-Steller)";Bezeichnungen der ISCO-08 (4-Steller);Unit Group (English);"Umstieg eindeutig (1);
nicht eindeutig (0)";"Schwerpunkt (1) und 
Anzahl der Alternativen";
11211;Berufe in der Nutztierhaltung (außer Geflügelhaltung) - Helfer-/Anlerntätigkeiten;Occupations in livestock farming (without poultry farming)-unskilled/semiskilled tasks;9212;Hilfsarbeiter in der Tierhaltung;Livestock farm labourers;1;1;
11212;Berufe in der Nutztierhaltung (außer Geflügelhaltung) - fachlich ausgerichtete Tätigkeiten;Occupations in livestock farming (without poultry farming)-skilled tasks;6121;Nutztierhalter (ohne Geflügel) und Milchproduzenten;Livestock and dairy producers;1;1;
11213;Berufe in der Nutztierhaltung (außer Geflügelhaltung) - komplexe Spezialistentätigkeiten;Occupations in livestock farming (without poultry farming)-complex tasks;6121;Nutztierhalter (ohne Geflügel) und Milchproduzenten;Livestock and dairy producers;1;1;
11214;Berufe in der Nutztierhaltung (außer Geflügelhaltung) - hoch komplexe Tätigkeiten;Occupations in livestock farming (without poultry farming)-highly complex tasks;2132;Agrar-, Forst- und Fischereiwissenschaftler und -berater;Farming, forestry and fisheries advisers;1;1;
11222;Berufe in der Geflügelhaltung - fachlich ausgerichtete Tätigkeiten;Occupations in poultry farming-skilled tasks;6122;Geflügelhalter;Poultry producers;1;1;
11223;Berufe in der Geflügelhaltung - komplexe Spezialistentätigkeiten;Occupations in poultry farming-complex tasks;3142;Agrartechniker;Agricultural technicians;0;2;
11223;Berufe in der Geflügelhaltung - komplexe Spezialistentätigkeiten;Occupations in poultry farming-complex tasks;6122;Geflügelhalter;Poultry producers;0;1;
11232;Berufe in der Imkerei - fachlich ausgerichtete Tätigkeiten;Occupations in beekeeping-skilled tasks;6123;Imker und Seidenraupenzüchter;Apiarists and sericulturists;1;1;
11233;Berufe in der Imkerei - komplexe Spezialistentätigkeiten;Occupations in beekeeping-complex tasks;3142;Agrartechniker;Agricultural technicians;1;1;
11282;Berufe in der Tierwirtschaft (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten;Occupations in animal husbandry (with specialisation, not elsewhere classified)-skilled tasks;6129;Tierhalter, anderweitig nicht genannt;Animal producers not elsewhere classified;1;1;
11283;Berufe in der Tierwirtschaft (sonstige spezifische Tätigkeitsangabe) - komplexe Spezialistentätigkeiten;Occupations in animal husbandry (with specialisation, not elsewhere classified)-complex tasks;6129;Tierhalter, anderweitig nicht genannt;Animal producers not elsewhere classified;1;1;
11293;Aufsichtskräfte - Tierwirtschaft;Supervisors in animal husbandry;6122;Geflügelhalter;Poultry producers;0;2;
11293;Aufsichtskräfte - Tierwirtschaft;Supervisors in animal husbandry;6123;Imker und Seidenraupenzüchter;Apiarists and sericulturists;0;3;
11293;Aufsichtskräfte - Tierwirtschaft;Supervisors in animal husbandry;6121;Nutztierhalter (ohne Geflügel) und Milchproduzenten;Livestock and dairy producers;0;1;
11293;Aufsichtskräfte - Tierwirtschaft;Supervisors in animal husbandry;6129;Tierhalter, anderweitig nicht genannt;Animal producers not elsewhere classified;0;4;
11294;Führungskräfte - Tierwirtschaft;Managers in animal husbandry;6122;Geflügelhalter;Poultry producers;0;2;
11294;Führungskräfte - Tierwirtschaft;Managers in animal husbandry;6123;Imker und Seidenraupenzüchter;Apiarists and sericulturists;0;3;
11294;Führungskräfte - Tierwirtschaft;Managers in animal husbandry;6121;Nutztierhalter (ohne Geflügel) und Milchproduzenten;Livestock and dairy producers;0;1;
11294;Führungskräfte - Tierwirtschaft;Managers in animal husbandry;6129;Tierhalter, anderweitig nicht genannt;Animal producers not elsewhere classified;0;4;
11302;Berufe in der Pferdewirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in horsekeeping (without specialisation)-skilled tasks;6121;Nutztierhalter (ohne Geflügel) und Milchproduzenten;Livestock and dairy producers;0;2;
11302;Berufe in der Pferdewirtschaft (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten;Occupations in horsekeeping (without specialisation)-skilled tasks;5164;Tierpfleger und -betreuer;Pet groomers and animal care workers;0;1;
11312;Berufe in der Pferdewirtschaft - Pferdezucht - fachlich ausgerichtete Tätigkeiten;Occupations in horse breeding-skilled tasks;6121;Nutztierhalter (ohne Geflügel) und Milchproduzenten;Livestock and dairy producers;1;1;
