,ISCO-Code,major_group,Berufsgattung(ISCO-Stufe 4),modifiziert_livingstone
249,5164,Dienstleistungsberufe und Verkäufer,Tierpfleger und -betreuer,Dienstleistungsarbeiter*innen
250,5165,Dienstleistungsberufe und Verkäufer,Fahrschullehrer,Dienstleistungsarbeiter*innen
251,5169,Dienstleistungsberufe und Verkäufer,"Berufe im Bereich personenbezogener Dienstleistungen, anderweitig nicht genannt",Dienstleistungsarbeiter*innen
252,5211,Dienstleistungsberufe und Verkäufer,Verkaufsstand- und Marktverkäufer,Dienstleistungsarbeiter*innen
253,5221,Dienstleistungsberufe und Verkäufer,Leiter eines Einzelhandelsgeschäftes,Anleitende Beschäftigte
254,5222,Dienstleistungsberufe und Verkäufer,Verkaufsaufsichtskräfte in Handelsgeschäften,Anleitende Beschäftigte
255,5223,Dienstleistungsberufe und Verkäufer,Verkäufer und Verkaufshilfskräfte in Handelsgeschäften,Dienstleistungsarbeiter*innen
256,5230,Dienstleistungsberufe und Verkäufer,Kassierer und Kartenverkäufer,Dienstleistungsarbeiter*innen
257,5241,Dienstleistungsberufe und Verkäufer,Mannequins/Dressmen und sonstige Modelle,Dienstleistungsarbeiter*innen
258,5242,Dienstleistungsberufe und Verkäufer,Produktvorführer,Dienstleistungsarbeiter*innen
259,5244,Dienstleistungsberufe und Verkäufer,Telefonverkäufer,Dienstleistungsarbeiter*innen
260,5245,Dienstleistungsberufe und Verkäufer,Tankwarte,Dienstleistungsarbeiter*innen
261,5246,Dienstleistungsberufe und Verkäufer,Imbissverkäufer,Dienstleistungsarbeiter*innen
262,5249,Dienstleistungsberufe und Verkäufer,"Verkaufskräfte, anderweitig nicht genannt",Dienstleistungsarbeiter*innen
263,5311,Dienstleistungsberufe und Verkäufer,Kinderbetreuer,Dienstleistungsarbeiter*innen
264,5312,Dienstleistungsberufe und Verkäufer,Lernbetreuer,Dienstleistungsarbeiter*innen
265,5321,Dienstleistungsberufe und Verkäufer,Pflegehelfer,Dienstleistungsarbeiter*innen
266,5322,Dienstleistungsberufe und Verkäufer,Haus- und Familienpfleger,Dienstleistungsarbeiter*innen
267,5329,Dienstleistungsberufe und Verkäufer,"Betreuungsberufe im Gesundheitswesen, anderweitig nicht genannt",Dienstleistungsarbeiter*innen
268,5411,Dienstleistungsberufe und Verkäufer,Feuerwehrleute,Dienstleistungsarbeiter*innen
269,5412,Dienstleistungsberufe und Verkäufer,Polizisten (ohne Polizeikommissare),Dienstleistungsarbeiter*innen
270,5413,Dienstleistungsberufe und Verkäufer,Gefängnisaufseher,Dienstleistungsarbeiter*innen
271,5414,Dienstleistungsberufe und Verkäufer,Sicherheitswachpersonal,Dienstleistungsarbeiter*innen
272,5419,Dienstleistungsberufe und Verkäufer,"Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt",Dienstleistungsarbeiter*innen
273,6111,Landwirtschaftliche Berufe,Ackerbauern und Gemüseanbauer,Industriearbeiter*innen
274,6112,Landwirtschaftliche Berufe,Baum- und Strauchfrüchteanbauer,Industriearbeiter*innen
275,6113,Landwirtschaftliche Berufe,"Gärtner, Saat- und Pflanzenzüchter",Industriearbeiter*innen
276,6121,Landwirtschaftliche Berufe,Nutztierhalter (ohne Geflügel) und Milchproduzenten,Industriearbeiter*innen
277,6122,Landwirtschaftliche Berufe,Geflügelhalter,Industriearbeiter*innen
278,6123,Landwirtschaftliche Berufe,Imker und Seidenraupenzüchter,Industriearbeiter*innen
279,6129,Landwirtschaftliche Berufe,"Tierhalter, anderweitig nicht genannt",Industriearbeiter*innen
280,6130,Landwirtschaftliche Berufe,Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),Industriearbeiter*innen
281,6210,Landwirtschaftliche Berufe,Forstarbeitskräfte und verwandte Berufe,Industriearbeiter*innen
282,6221,Landwirtschaftliche Berufe,Fachkräfte im Bereich Aquakultur,Industriearbeiter*innen
283,6222,Landwirtschaftliche Berufe,Binnen- und Küstenfischer,Industriearbeiter*innen
284,6223,Landwirtschaftliche Berufe,Hochseefischer,Industriearbeiter*innen
285,7111,Handwerks- und verwandte Berufe,Rohbaufacharbeiter im Hochbau,Industriearbeiter*innen
286,7112,Handwerks- und verwandte Berufe,Maurer und verwandte Berufe,Industriearbeiter*innen
287,7113,Handwerks- und verwandte Berufe,"Steinmetze, Steinspalter, -bearbeiter und Steinbildhauer",Industriearbeiter*innen
288,7114,Handwerks- und verwandte Berufe,"Betonierer, Betonoberflächenfertiger und verwandte Berufe",Industriearbeiter*innen
289,7115,Handwerks- und verwandte Berufe,Zimmerleute und Bautischler,Industriearbeiter*innen
290,7119,Handwerks- und verwandte Berufe,"Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt",Industriearbeiter*innen
291,7121,Handwerks- und verwandte Berufe,Dachdecker,Industriearbeiter*innen
292,7122,Handwerks- und verwandte Berufe,Boden- und Fliesenleger,Industriearbeiter*innen
293,7123,Handwerks- und verwandte Berufe,Stuckateure,Industriearbeiter*innen
294,7124,Handwerks- und verwandte Berufe,Isolierer,Industriearbeiter*innen
295,7125,Handwerks- und verwandte Berufe,Glaser,Industriearbeiter*innen
296,7126,Handwerks- und verwandte Berufe,Bauspengler und Sanitär- und Heizungsinstallateure,Industriearbeiter*innen
297,7127,Handwerks- und verwandte Berufe,Klima- und Kälteanlagenbauer,Industriearbeiter*innen
298,7131,Handwerks- und verwandte Berufe,Maler und verwandte Berufe,Industriearbeiter*innen
299,7132,Handwerks- und verwandte Berufe,Lackierer und verwandte Berufe,Industriearbeiter*innen
300,7133,Handwerks- und verwandte Berufe,Fassadenreiniger und Schornsteinfeger/Rauchfangkehrer,Dienstleistungsarbeiter*innen
301,7211,Handwerks- und verwandte Berufe,Former und Kernmacher (für Metallguss),Industriearbeiter*innen
302,7212,Handwerks- und verwandte Berufe,Schweißer und Brennschneider,Industriearbeiter*innen
303,7213,Handwerks- und verwandte Berufe,Blechkaltverformer,Industriearbeiter*innen
304,7214,Handwerks- und verwandte Berufe,Baumetallverformer und Metallbauer,Industriearbeiter*innen
305,7215,Handwerks- und verwandte Berufe,Verspannungsmonteure und Seilspleißer,Industriearbeiter*innen
306,7221,Handwerks- und verwandte Berufe,"Grobschmiede, Hammerschmiede und Schmiedepresser",Industriearbeiter*innen
307,7222,Handwerks- und verwandte Berufe,Werkzeugmechaniker und verwandte Berufe,Industriearbeiter*innen
308,7223,Handwerks- und verwandte Berufe,Werkzeugmaschineneinrichter und -bediener,Industriearbeiter*innen
309,7224,Handwerks- und verwandte Berufe,"Metallpolierer, Rundschleifer und Werkzeugschärfer",Industriearbeiter*innen
310,7231,Handwerks- und verwandte Berufe,Kraftfahrzeugmechaniker und -schlosser,Industriearbeiter*innen
311,7232,Handwerks- und verwandte Berufe,Flugmotorenmechaniker und -schlosser,Industriearbeiter*innen
312,7233,Handwerks- und verwandte Berufe,Landmaschinen- und Industriemaschinenmechaniker und -schlosser,Industriearbeiter*innen
313,7234,Handwerks- und verwandte Berufe,Fahrradmechaniker und verwandte Berufe,Industriearbeiter*innen
314,7311,Handwerks- und verwandte Berufe,Präzisionsinstrumentenmacher und -instandsetzer,Industriearbeiter*innen
315,7312,Handwerks- und verwandte Berufe,Musikinstrumentenbauer und -stimmer,Industriearbeiter*innen
316,7313,Handwerks- und verwandte Berufe,Schmuckwarenhersteller und Edelmetallbearbeiter,Industriearbeiter*innen
317,7314,Handwerks- und verwandte Berufe,Keramiker und verwandte Berufe,Industriearbeiter*innen
318,7315,Handwerks- und verwandte Berufe,"Glasmacher, -schneider, -schleifer und -veredler",Industriearbeiter*innen
319,7316,Handwerks- und verwandte Berufe,"Schildermaler, Dekormaler, Graveure und Ätzer",Industriearbeiter*innen
320,7317,Handwerks- und verwandte Berufe,"Kunsthandwerkliche Berufe für Holz, Korbwaren und verwandte Materialien",Industriearbeiter*innen
321,7318,Handwerks- und verwandte Berufe,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien",Industriearbeiter*innen
322,7319,Handwerks- und verwandte Berufe,"Kunsthandwerkliche Berufe, anderweitig nicht genannt",Industriearbeiter*innen
323,7321,Handwerks- und verwandte Berufe,Techniker in der Druckvorstufe,Industriearbeiter*innen
324,7322,Handwerks- und verwandte Berufe,Drucker,Industriearbeiter*innen
325,7323,Handwerks- und verwandte Berufe,Berufe in der Druckweiterverarbeitung und Buchbinder,Industriearbeiter*innen
326,7411,Handwerks- und verwandte Berufe,Bauelektriker und verwandte Berufe,Industriearbeiter*innen
327,7412,Handwerks- und verwandte Berufe,Elektromechaniker und verwandte Berufe,Industriearbeiter*innen
328,7413,Handwerks- und verwandte Berufe,Elektroleitungsinstallateure und Wartungspersonal,Industriearbeiter*innen
329,7421,Handwerks- und verwandte Berufe,Elektroniker und Elektronik-Servicetechniker,Industriearbeiter*innen
330,7422,Handwerks- und verwandte Berufe,Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik,Industriearbeiter*innen
331,7511,Handwerks- und verwandte Berufe,"Fleischer, Fischhändler und -verarbeiter und verwandte Berufe",Industriearbeiter*innen
332,7512,Handwerks- und verwandte Berufe,"Bäcker, Konditoren und Konfektmacher",Industriearbeiter*innen
333,7513,Handwerks- und verwandte Berufe,Molkerei- und Käsereifachkräfte,Industriearbeiter*innen
334,7514,Handwerks- und verwandte Berufe,Obst- und Gemüsekonservierer und verwandte Berufe,Industriearbeiter*innen
335,7515,Handwerks- und verwandte Berufe,Nahrungsmittel- und Getränkekoster und -klassierer,Dienstleistungsarbeiter*innen
336,7516,Handwerks- und verwandte Berufe,Tabakaufbereiter und Tabakwarenmacher,Industriearbeiter*innen
337,7521,Handwerks- und verwandte Berufe,Holztrockner und -konservierer,Industriearbeiter*innen
338,7522,Handwerks- und verwandte Berufe,Möbeltischler und verwandte Berufe,Industriearbeiter*innen
339,7523,Handwerks- und verwandte Berufe,Einrichter und Bediener von Holzbearbeitungsmaschinen,Industriearbeiter*innen
340,7531,Handwerks- und verwandte Berufe,"Herren- und Damenschneider, Kürschner und Hutmacher",Industriearbeiter*innen
341,7532,Handwerks- und verwandte Berufe,Schnittmustermacher und Zuschneider,Industriearbeiter*innen
342,7533,Handwerks- und verwandte Berufe,"Näher, Sticker und verwandte Berufe",Industriearbeiter*innen
343,7534,Handwerks- und verwandte Berufe,Polsterer und verwandte Berufe,Industriearbeiter*innen
344,7535,Handwerks- und verwandte Berufe,"Pelzveredler, Gerber und Fellzurichter",Industriearbeiter*innen
345,7536,Handwerks- und verwandte Berufe,Schuhmacher und verwandte Berufe,Industriearbeiter*innen
346,7541,Handwerks- und verwandte Berufe,Taucher,Dienstleistungsarbeiter*innen
347,7542,Handwerks- und verwandte Berufe,Sprengmeister und Sprengbeauftragte,Industriearbeiter*innen
348,7543,Handwerks- und verwandte Berufe,Produkttester und -klassierer (ohne Nahrungsmittel und Getränke),Dienstleistungsarbeiter*innen
349,7544,Handwerks- und verwandte Berufe,Kammerjäger und andere Schädlingsbekämpfungsberufe,Dienstleistungsarbeiter*innen
350,7549,Handwerks- und verwandte Berufe,"Handwerks- und verwandte Berufe, anderweitig nicht genannt",Industriearbeiter*innen
351,8111,Bediener von Anlagen und Maschinen und Montageberufe,Bergleute und Grubenarbeiter,Industriearbeiter*innen
352,8112,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Mineral- und Gesteinsaufbereitungsanlagen,Industriearbeiter*innen
353,8113,Bediener von Anlagen und Maschinen und Montageberufe,Tiefbohrer und verwandte Berufe,Industriearbeiter*innen
354,8114,Bediener von Anlagen und Maschinen und Montageberufe,"Bediener von Maschinen zur Herstellung und Verarbeitung von Zement, Steinen und sonstigen Mineralien",Industriearbeiter*innen
355,8121,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Anlagen in der Metallerzeugung und -umformung,Industriearbeiter*innen
356,8122,Bediener von Anlagen und Maschinen und Montageberufe,"Bediener von Anlagen zur Metallveredlung, Plattierung und Beschichtung von Metallen",Industriearbeiter*innen
357,8131,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Anlagen und Maschinen für chemische Erzeugnisse,Industriearbeiter*innen
358,8132,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Anlagen für fotografische Erzeugnisse,Industriearbeiter*innen
359,8141,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Maschinen zur Herstellung von Gummiwaren,Industriearbeiter*innen
360,8142,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Maschinen zur Herstellung von Kunststoffwaren,Industriearbeiter*innen
361,8143,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Maschinen zur Herstellung von Papierwaren,Industriearbeiter*innen
362,8151,Bediener von Anlagen und Maschinen und Montageberufe,"Bediener von Spinnstoffaufbereitungs-, Spinn- und Spulmaschinen",Industriearbeiter*innen
363,8152,Bediener von Anlagen und Maschinen und Montageberufe,"Bediener von Web-, Strick- und Wirkmaschinen",Industriearbeiter*innen
364,8153,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Nähmaschinen,Industriearbeiter*innen
365,8154,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Bleich- und Färbemaschinen,Industriearbeiter*innen
366,8155,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Pelz- und Lederzurichtungs- und -vorbereitungsmaschinen,Industriearbeiter*innen
367,8156,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Maschinen zur Schuhherstellung und verwandte Berufe,Industriearbeiter*innen
368,8157,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Wäschereimaschinen,Industriearbeiter*innen
369,8159,Bediener von Anlagen und Maschinen und Montageberufe,"Bediener von Maschinen zur Herstellung von Textil-, Pelz- und Lederwaren, anderweitig nicht genannt",Industriearbeiter*innen
370,8160,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln,Industriearbeiter*innen
371,8171,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Anlagen zur Zellstoff- und Papierherstellung,Industriearbeiter*innen
372,8172,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Anlagen zur Holzaufbereitung,Industriearbeiter*innen
373,8181,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Anlagen zur Glas- und Keramikherstellung,Industriearbeiter*innen
374,8182,Bediener von Anlagen und Maschinen und Montageberufe,Bediener von Dampfmaschinen und -kesseln,Industriearbeiter*innen
375,8183,Bediener von Anlagen und Maschinen und Montageberufe,"Bediener von Verpackungs-, Abfüll- und Etikettiermaschinen",Industriearbeiter*innen
376,8189,Bediener von Anlagen und Maschinen und Montageberufe,"Bediener stationärer Anlagen und Maschinen, anderweitig nicht genannt",Industriearbeiter*innen
377,8211,Bediener von Anlagen und Maschinen und Montageberufe,Berufe der Montage von mechanischen Bauteilen,Industriearbeiter*innen
378,8212,Bediener von Anlagen und Maschinen und Montageberufe,Berufe der Montage von elektrischen und elektronischen Geräten,Industriearbeiter*innen
379,8219,Bediener von Anlagen und Maschinen und Montageberufe,"Montageberufe, anderweitig nicht genannt",Industriearbeiter*innen
380,8311,Bediener von Anlagen und Maschinen und Montageberufe,Lokomotivführer,Industriearbeiter*innen
381,8312,Bediener von Anlagen und Maschinen und Montageberufe,"Bediener von Sicherungs-, Signal- und Leittechnik im Schienennetzbetrieb",Industriearbeiter*innen
382,8322,Bediener von Anlagen und Maschinen und Montageberufe,"Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer",Dienstleistungsarbeiter*innen
383,8331,Bediener von Anlagen und Maschinen und Montageberufe,Busfahrer und Straßenbahnführer,Dienstleistungsarbeiter*innen
384,8332,Bediener von Anlagen und Maschinen und Montageberufe,Fahrer schwerer Lastkraftwagen,Industriearbeiter*innen
385,8341,Bediener von Anlagen und Maschinen und Montageberufe,Führer von mobilen land- und forstwirtschaftlichen Maschinen,Industriearbeiter*innen
386,8342,Bediener von Anlagen und Maschinen und Montageberufe,Führer von Erdbewegungs- und verwandten Maschinen,Industriearbeiter*innen
387,8343,Bediener von Anlagen und Maschinen und Montageberufe,"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen",Industriearbeiter*innen
388,8344,Bediener von Anlagen und Maschinen und Montageberufe,Gabelstaplerfahrer und verwandte Berufe,Industriearbeiter*innen
389,8350,Bediener von Anlagen und Maschinen und Montageberufe,Deckspersonal auf Schiffen und verwandte Berufe,Industriearbeiter*innen
390,9111,Hilfsarbeitskräfte,Reinigungspersonal und Hilfskräfte in Privathaushalten,Dienstleistungsarbeiter*innen
391,9112,Hilfsarbeitskräfte,"Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen",Dienstleistungsarbeiter*innen
392,9121,Hilfsarbeitskräfte,Handwäscher und Handbügler,Dienstleistungsarbeiter*innen
393,9122,Hilfsarbeitskräfte,Fahrzeugreiniger,Dienstleistungsarbeiter*innen
394,9123,Hilfsarbeitskräfte,Fensterputzer,Dienstleistungsarbeiter*innen
395,9129,Hilfsarbeitskräfte,Sonstiges Reinigungspersonal,Dienstleistungsarbeiter*innen
396,9211,Hilfsarbeitskräfte,Hilfsarbeiter im Ackerbau,Industriearbeiter*innen
397,9212,Hilfsarbeitskräfte,Hilfsarbeiter in der Tierhaltung,Industriearbeiter*innen
398,9213,Hilfsarbeitskräfte,Hilfsarbeiter in Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),Industriearbeiter*innen
399,9214,Hilfsarbeitskräfte,Hilfsarbeiter im Gartenbau,Industriearbeiter*innen
400,9215,Hilfsarbeitskräfte,Hilfsarbeiter in der Forstwirtschaft,Industriearbeiter*innen
401,9216,Hilfsarbeitskräfte,Hilfsarbeiter in der Fischerei und Aquakultur,Industriearbeiter*innen
402,9311,Hilfsarbeitskräfte,Hilfsarbeiter im Bergbau und in der Gewinnung von Steinen und Erden,Industriearbeiter*innen
403,9312,Hilfsarbeitskräfte,Hilfsarbeiter im Tiefbau,Industriearbeiter*innen
404,9313,Hilfsarbeitskräfte,Hilfsarbeiter im Hochbau,Industriearbeiter*innen
405,9321,Hilfsarbeitskräfte,Verpacker,Industriearbeiter*innen
406,9329,Hilfsarbeitskräfte,"Hilfsarbeiter bei der Herstellung von Waren, anderweitig nicht genannt",Industriearbeiter*innen
407,9331,Hilfsarbeitskräfte,Führer von Handwagen und pedalbetriebenen Fahrzeugen,Industriearbeiter*innen
408,9332,Hilfsarbeitskräfte,Führer von Fahrzeugen und Maschinen mit Zugtierantrieb,Industriearbeiter*innen
409,9333,Hilfsarbeitskräfte,Frachtarbeiter und verwandte Berufe,Industriearbeiter*innen
410,9334,Hilfsarbeitskräfte,Regalbetreuer und -auffüller,Dienstleistungsarbeiter*innen
411,9411,Hilfsarbeitskräfte,Zubereiter von Fast Food und anderen Imbissen,Industriearbeiter*innen
412,9412,Hilfsarbeitskräfte,Küchenhilfen,Industriearbeiter*innen
413,9510,Hilfsarbeitskräfte,Auf der Straße arbeitende Dienstleistungskräfte und verwandte Berufe,Dienstleistungsarbeiter*innen
414,9611,Hilfsarbeitskräfte,Arbeiter in der Abfall- und Wertstoffsammlung,Industriearbeiter*innen
415,9612,Hilfsarbeitskräfte,Arbeiter in der Abfallsortierung,Industriearbeiter*innen
416,9613,Hilfsarbeitskräfte,Straßenkehrer und verwandte Berufe,Dienstleistungsarbeiter*innen
417,9621,Hilfsarbeitskräfte,"Boten, Paketauslieferer und Gepäckträger",Dienstleistungsarbeiter*innen
418,9622,Hilfsarbeitskräfte,Gelegenheitsarbeiter,Dienstleistungsarbeiter*innen
419,9623,Hilfsarbeitskräfte,"Zählerableser, Automatenbefüller und -kassierer",Dienstleistungsarbeiter*innen
420,9629,Hilfsarbeitskräfte,"Hilfsarbeitskräfte, anderweitig nicht genannt",Dienstleistungsarbeiter*innen
