,ISCO-Code,Stellung im Beruf,is_supervisor,self_employed,n_employees,Anzahl,control_work,control_daily,Bezeichnung
1205,5132,Arbeiter*innen & Angestellte,0,0,0.0,44790,4,2,Barkeeper
1210,5141,Arbeiter*innen & Angestellte,0,0,0.0,144310,4,2,Friseure
1215,5142,Arbeiter*innen & Angestellte,0,0,0.0,40300,4,2,Kosmetiker und verwandte Berufe
1220,5151,Arbeiter*innen & Angestellte,0,0,0.0,82330,4,2,"Reinigungs- und Hauswirtschaftsleiter in Büros, Hotels und anderen Einrichtungen"
1225,5152,Arbeiter*innen & Angestellte,0,0,0.0,159660,4,2,Hauswirtschafter in Privathaushalten
1230,5153,Arbeiter*innen & Angestellte,0,0,0.0,332020,4,2,Hauswarte
1235,5161,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,"Astrologen, Wahrsager und verwandte Berufe"
1240,5162,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Gesellschafter und Zofen/Kammerdiener
1245,5163,Arbeiter*innen & Angestellte,0,0,0.0,16340,4,2,Bestatter und Einbalsamierer
1250,5164,Arbeiter*innen & Angestellte,0,0,0.0,52850,4,2,Tierpfleger und -betreuer
1255,5165,Arbeiter*innen & Angestellte,0,0,0.0,23270,4,2,Fahrschullehrer
1260,5169,Arbeiter*innen & Angestellte,0,0,0.0,250,4,2,"Berufe im Bereich personenbezogener Dienstleistungen, anderweitig nicht genannt"
1265,5211,Arbeiter*innen & Angestellte,0,0,0.0,9120,4,2,Verkaufsstand- und Marktverkäufer
1270,5212,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Straßenverkäufer von Lebensmitteln
1275,5221,Arbeiter*innen & Angestellte,0,0,0.0,41240,4,2,Leiter eines Einzelhandelsgeschäftes
1280,5222,Arbeiter*innen & Angestellte,0,0,0.0,35390,4,2,Verkaufsaufsichtskräfte in Handelsgeschäften
1285,5223,Arbeiter*innen & Angestellte,0,0,0.0,1957260,4,2,Verkäufer und Verkaufshilfskräfte in Handelsgeschäften
1290,5230,Arbeiter*innen & Angestellte,0,0,0.0,163940,4,2,Kassierer und Kartenverkäufer
1295,5241,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Mannequins/Dressmen und sonstige Modelle
1300,5242,Arbeiter*innen & Angestellte,0,0,0.0,3610,4,2,Produktvorführer
1305,5243,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Haustürverkäufer
1310,5244,Arbeiter*innen & Angestellte,0,0,0.0,10160,4,2,Telefonverkäufer
1315,5245,Arbeiter*innen & Angestellte,0,0,0.0,25550,4,2,Tankwarte
1320,5246,Arbeiter*innen & Angestellte,0,0,0.0,69400,4,2,Imbissverkäufer
1325,5249,Arbeiter*innen & Angestellte,0,0,0.0,7540,4,2,"Verkaufskräfte, anderweitig nicht genannt"
1330,5311,Arbeiter*innen & Angestellte,0,0,0.0,190770,4,2,Kinderbetreuer
1335,5312,Arbeiter*innen & Angestellte,0,0,0.0,68070,4,2,Lernbetreuer
1340,5321,Arbeiter*innen & Angestellte,0,0,0.0,288450,4,2,Pflegehelfer
1345,5322,Arbeiter*innen & Angestellte,0,0,0.0,287550,4,2,Haus- und Familienpfleger
1350,5329,Arbeiter*innen & Angestellte,0,0,0.0,13160,4,2,"Betreuungsberufe im Gesundheitswesen, anderweitig nicht genannt"
1355,5411,Arbeiter*innen & Angestellte,0,0,0.0,56550,4,2,Feuerwehrleute
1360,5412,Arbeiter*innen & Angestellte,0,0,0.0,189650,4,2,Polizisten (ohne Polizeikommissare)
1365,5413,Arbeiter*innen & Angestellte,0,0,0.0,27300,4,2,Gefängnisaufseher
1370,5414,Arbeiter*innen & Angestellte,0,0,0.0,158100,4,2,Sicherheitswachpersonal
1375,5419,Arbeiter*innen & Angestellte,0,0,0.0,32260,4,2,"Schutzkräfte und Sicherheitsbedienstete, anderweitig nicht genannt"
1380,6111,Arbeiter*innen & Angestellte,0,0,0.0,10390,4,2,Ackerbauern und Gemüseanbauer
1385,6112,Arbeiter*innen & Angestellte,0,0,0.0,8730,4,2,Baum- und Strauchfrüchteanbauer
1390,6113,Arbeiter*innen & Angestellte,0,0,0.0,213620,4,2,"Gärtner, Saat- und Pflanzenzüchter"
1395,6114,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Fachkräfte in der Mischkulturlandwirtschaft
1400,6121,Arbeiter*innen & Angestellte,0,0,0.0,22150,4,2,Nutztierhalter (ohne Geflügel) und Milchproduzenten
1405,6122,Arbeiter*innen & Angestellte,0,0,0.0,2440,4,2,Geflügelhalter
1410,6123,Arbeiter*innen & Angestellte,0,0,0.0,690,4,2,Imker und Seidenraupenzüchter
1415,6129,Arbeiter*innen & Angestellte,0,0,0.0,350,4,2,"Tierhalter, anderweitig nicht genannt"
1420,6130,Arbeiter*innen & Angestellte,0,0,0.0,109920,4,2,Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)
1425,6210,Arbeiter*innen & Angestellte,0,0,0.0,16410,4,2,Forstarbeitskräfte und verwandte Berufe
1430,6221,Arbeiter*innen & Angestellte,0,0,0.0,860,4,2,Fachkräfte im Bereich Aquakultur
1435,6222,Arbeiter*innen & Angestellte,0,0,0.0,1390,4,2,Binnen- und Küstenfischer
1440,6223,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Hochseefischer
1445,6224,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Jäger und Fallensteller
1450,6310,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Ackerbauern für den Eigenbedarf
1455,6320,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Nutztierhalter für den Eigenbedarf
1460,6330,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Ackerbauern und Nutztierhalter (ohne ausgeprägten Schwerpunkt) für den Eigenbedarf
1465,6340,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,"Fischer, Jäger, Fallensteller und Sammler für den Eigenbedarf"
1470,7111,Arbeiter*innen & Angestellte,0,0,0.0,18130,4,2,Rohbaufacharbeiter im Hochbau
1475,7112,Arbeiter*innen & Angestellte,0,0,0.0,128640,4,2,Maurer und verwandte Berufe
1480,7113,Arbeiter*innen & Angestellte,0,0,0.0,12460,4,2,"Steinmetze, Steinspalter, -bearbeiter und Steinbildhauer"
1485,7114,Arbeiter*innen & Angestellte,0,0,0.0,82590,4,2,"Betonierer, Betonoberflächenfertiger und verwandte Berufe"
1490,7115,Arbeiter*innen & Angestellte,0,0,0.0,98790,4,2,Zimmerleute und Bautischler
1495,7119,Arbeiter*innen & Angestellte,0,0,0.0,23820,4,2,"Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt"
1500,7121,Arbeiter*innen & Angestellte,0,0,0.0,59600,4,2,Dachdecker
1505,7122,Arbeiter*innen & Angestellte,0,0,0.0,56860,4,2,Boden- und Fliesenleger
1510,7123,Arbeiter*innen & Angestellte,0,0,0.0,63050,4,2,Stuckateure
1515,7124,Arbeiter*innen & Angestellte,0,0,0.0,9950,4,2,Isolierer
1520,7125,Arbeiter*innen & Angestellte,0,0,0.0,11360,4,2,Glaser
1525,7126,Arbeiter*innen & Angestellte,0,0,0.0,203820,4,2,Bauspengler und Sanitär- und Heizungsinstallateure
1530,7127,Arbeiter*innen & Angestellte,0,0,0.0,21410,4,2,Klima- und Kälteanlagenbauer
1535,7131,Arbeiter*innen & Angestellte,0,0,0.0,114050,4,2,Maler und verwandte Berufe
1540,7132,Arbeiter*innen & Angestellte,0,0,0.0,60000,4,2,Lackierer und verwandte Berufe
1545,7133,Arbeiter*innen & Angestellte,0,0,0.0,11280,4,2,Fassadenreiniger und Schornsteinfeger/Rauchfangkehrer
1550,7211,Arbeiter*innen & Angestellte,0,0,0.0,6160,4,2,Former und Kernmacher (für Metallguss)
1555,7212,Arbeiter*innen & Angestellte,0,0,0.0,107290,4,2,Schweißer und Brennschneider
1560,7213,Arbeiter*innen & Angestellte,0,0,0.0,45710,4,2,Blechkaltverformer
1565,7214,Arbeiter*innen & Angestellte,0,0,0.0,112820,4,2,Baumetallverformer und Metallbauer
1570,7215,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Verspannungsmonteure und Seilspleißer
1575,7221,Arbeiter*innen & Angestellte,0,0,0.0,10700,4,2,"Grobschmiede, Hammerschmiede und Schmiedepresser"
1580,7222,Arbeiter*innen & Angestellte,0,0,0.0,152960,4,2,Werkzeugmechaniker und verwandte Berufe
1585,7223,Arbeiter*innen & Angestellte,0,0,0.0,408450,4,2,Werkzeugmaschineneinrichter und -bediener
1590,7224,Arbeiter*innen & Angestellte,0,0,0.0,28280,4,2,"Metallpolierer, Rundschleifer und Werkzeugschärfer"
1595,7231,Arbeiter*innen & Angestellte,0,0,0.0,333830,4,2,Kraftfahrzeugmechaniker und -schlosser
1600,7232,Arbeiter*innen & Angestellte,0,0,0.0,19390,4,2,Flugmotorenmechaniker und -schlosser
1605,7233,Arbeiter*innen & Angestellte,0,0,0.0,602370,4,2,Landmaschinen- und Industriemaschinenmechaniker und -schlosser
1610,7234,Arbeiter*innen & Angestellte,0,0,0.0,19220,4,2,Fahrradmechaniker und verwandte Berufe
1615,7311,Arbeiter*innen & Angestellte,0,0,0.0,49470,4,2,Präzisionsinstrumentenmacher und -instandsetzer
1620,7312,Arbeiter*innen & Angestellte,0,0,0.0,3410,4,2,Musikinstrumentenbauer und -stimmer
1625,7313,Arbeiter*innen & Angestellte,0,0,0.0,5810,4,2,Schmuckwarenhersteller und Edelmetallbearbeiter
1630,7314,Arbeiter*innen & Angestellte,0,0,0.0,3850,4,2,Keramiker und verwandte Berufe
1635,7315,Arbeiter*innen & Angestellte,0,0,0.0,3360,4,2,"Glasmacher, -schneider, -schleifer und -veredler"
1640,7316,Arbeiter*innen & Angestellte,0,0,0.0,11010,4,2,"Schildermaler, Dekormaler, Graveure und Ätzer"
1645,7317,Arbeiter*innen & Angestellte,0,0,0.0,3040,4,2,"Kunsthandwerkliche Berufe für Holz, Korbwaren und verwandte Materialien"
1650,7318,Arbeiter*innen & Angestellte,0,0,0.0,1700,4,2,"Kunsthandwerkliche Berufe für Textilien, Leder und verwandte Materialien"
1655,7319,Arbeiter*innen & Angestellte,0,0,0.0,1780,4,2,"Kunsthandwerkliche Berufe, anderweitig nicht genannt"
1660,7321,Arbeiter*innen & Angestellte,0,0,0.0,63430,4,2,Techniker in der Druckvorstufe
1665,7322,Arbeiter*innen & Angestellte,0,0,0.0,47990,4,2,Drucker
1670,7323,Arbeiter*innen & Angestellte,0,0,0.0,8800,4,2,Berufe in der Druckweiterverarbeitung und Buchbinder
1675,7411,Arbeiter*innen & Angestellte,0,0,0.0,229780,4,2,Bauelektriker und verwandte Berufe
1680,7412,Arbeiter*innen & Angestellte,0,0,0.0,178040,4,2,Elektromechaniker und verwandte Berufe
1685,7413,Arbeiter*innen & Angestellte,0,0,0.0,9840,4,2,Elektroleitungsinstallateure und Wartungspersonal
1690,7421,Arbeiter*innen & Angestellte,0,0,0.0,117730,4,2,Elektroniker und Elektronik-Servicetechniker
1695,7422,Arbeiter*innen & Angestellte,0,0,0.0,144740,4,2,Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik
1700,7511,Arbeiter*innen & Angestellte,0,0,0.0,68370,4,2,"Fleischer, Fischhändler und -verarbeiter und verwandte Berufe"
1705,7512,Arbeiter*innen & Angestellte,0,0,0.0,67030,4,2,"Bäcker, Konditoren und Konfektmacher"
1710,7513,Arbeiter*innen & Angestellte,0,0,0.0,1880,4,2,Molkerei- und Käsereifachkräfte
1715,7514,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Obst- und Gemüsekonservierer und verwandte Berufe
1720,7515,Arbeiter*innen & Angestellte,0,0,0.0,800,4,2,Nahrungsmittel- und Getränkekoster und -klassierer
1725,7516,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Tabakaufbereiter und Tabakwarenmacher
1730,7521,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Holztrockner und -konservierer
1735,7522,Arbeiter*innen & Angestellte,0,0,0.0,170830,4,2,Möbeltischler und verwandte Berufe
1740,7523,Arbeiter*innen & Angestellte,0,0,0.0,32920,4,2,Einrichter und Bediener von Holzbearbeitungsmaschinen
1745,7531,Arbeiter*innen & Angestellte,0,0,0.0,18020,4,2,"Herren- und Damenschneider, Kürschner und Hutmacher"
1750,7532,Arbeiter*innen & Angestellte,0,0,0.0,1150,4,2,Schnittmustermacher und Zuschneider
1755,7533,Arbeiter*innen & Angestellte,0,0,0.0,18840,4,2,"Näher, Sticker und verwandte Berufe"
1760,7534,Arbeiter*innen & Angestellte,0,0,0.0,12590,4,2,Polsterer und verwandte Berufe
1765,7535,Arbeiter*innen & Angestellte,0,0,0.0,920,4,2,"Pelzveredler, Gerber und Fellzurichter"
1770,7536,Arbeiter*innen & Angestellte,0,0,0.0,8650,4,2,Schuhmacher und verwandte Berufe
1775,7541,Arbeiter*innen & Angestellte,0,0,0.0,510,4,2,Taucher
1780,7542,Arbeiter*innen & Angestellte,0,0,0.0,2570,4,2,Sprengmeister und Sprengbeauftragte
1785,7543,Arbeiter*innen & Angestellte,0,0,0.0,154240,4,2,Produkttester und -klassierer (ohne Nahrungsmittel und Getränke)
1790,7544,Arbeiter*innen & Angestellte,0,0,0.0,2940,4,2,Kammerjäger und andere Schädlingsbekämpfungsberufe
1795,7549,Arbeiter*innen & Angestellte,0,0,0.0,55010,4,2,"Handwerks- und verwandte Berufe, anderweitig nicht genannt"
1800,8111,Arbeiter*innen & Angestellte,0,0,0.0,12060,4,2,Bergleute und Grubenarbeiter
1805,8112,Arbeiter*innen & Angestellte,0,0,0.0,51960,4,2,Bediener von Mineral- und Gesteinsaufbereitungsanlagen
1810,8113,Arbeiter*innen & Angestellte,0,0,0.0,4390,4,2,Tiefbohrer und verwandte Berufe
1815,8114,Arbeiter*innen & Angestellte,0,0,0.0,19790,4,2,"Bediener von Maschinen zur Herstellung und Verarbeitung von Zement, Steinen und sonstigen Mineralien"
1820,8121,Arbeiter*innen & Angestellte,0,0,0.0,55290,4,2,Bediener von Anlagen in der Metallerzeugung und -umformung
1825,8122,Arbeiter*innen & Angestellte,0,0,0.0,34310,4,2,"Bediener von Anlagen zur Metallveredlung, Plattierung und Beschichtung von Metallen"
1830,8131,Arbeiter*innen & Angestellte,0,0,0.0,111320,4,2,Bediener von Anlagen und Maschinen für chemische Erzeugnisse
1835,8132,Arbeiter*innen & Angestellte,0,0,0.0,4820,4,2,Bediener von Anlagen für fotografische Erzeugnisse
1840,8141,Arbeiter*innen & Angestellte,0,0,0.0,7620,4,2,Bediener von Maschinen zur Herstellung von Gummiwaren
1845,8142,Arbeiter*innen & Angestellte,0,0,0.0,58290,4,2,Bediener von Maschinen zur Herstellung von Kunststoffwaren
1850,8143,Arbeiter*innen & Angestellte,0,0,0.0,45650,4,2,Bediener von Maschinen zur Herstellung von Papierwaren
1855,8151,Arbeiter*innen & Angestellte,0,0,0.0,2220,4,2,"Bediener von Spinnstoffaufbereitungs-, Spinn- und Spulmaschinen"
1860,8152,Arbeiter*innen & Angestellte,0,0,0.0,13370,4,2,"Bediener von Web-, Strick- und Wirkmaschinen"
1865,8153,Arbeiter*innen & Angestellte,0,0,0.0,9300,4,2,Bediener von Nähmaschinen
1870,8154,Arbeiter*innen & Angestellte,0,0,0.0,6210,4,2,Bediener von Bleich- und Färbemaschinen
1875,8155,Arbeiter*innen & Angestellte,0,0,0.0,580,4,2,Bediener von Pelz- und Lederzurichtungs- und -vorbereitungsmaschinen
1880,8156,Arbeiter*innen & Angestellte,0,0,0.0,3720,4,2,Bediener von Maschinen zur Schuhherstellung und verwandte Berufe
1885,8157,Arbeiter*innen & Angestellte,0,0,0.0,38430,4,2,Bediener von Wäschereimaschinen
1890,8159,Arbeiter*innen & Angestellte,0,0,0.0,4360,4,2,"Bediener von Maschinen zur Herstellung von Textil-, Pelz- und Lederwaren, anderweitig nicht genannt"
1895,8160,Arbeiter*innen & Angestellte,0,0,0.0,67190,4,2,Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln
1900,8171,Arbeiter*innen & Angestellte,0,0,0.0,19100,4,2,Bediener von Anlagen zur Zellstoff- und Papierherstellung
1905,8172,Arbeiter*innen & Angestellte,0,0,0.0,10580,4,2,Bediener von Anlagen zur Holzaufbereitung
1910,8181,Arbeiter*innen & Angestellte,0,0,0.0,26400,4,2,Bediener von Anlagen zur Glas- und Keramikherstellung
1915,8182,Arbeiter*innen & Angestellte,0,0,0.0,7810,4,2,Bediener von Dampfmaschinen und -kesseln
1920,8183,Arbeiter*innen & Angestellte,0,0,0.0,74360,4,2,"Bediener von Verpackungs-, Abfüll- und Etikettiermaschinen"
1925,8189,Arbeiter*innen & Angestellte,0,0,0.0,156360,4,2,"Bediener stationärer Anlagen und Maschinen, anderweitig nicht genannt"
1930,8211,Arbeiter*innen & Angestellte,0,0,0.0,75890,4,2,Berufe der Montage von mechanischen Bauteilen
1935,8212,Arbeiter*innen & Angestellte,0,0,0.0,47900,4,2,Berufe der Montage von elektrischen und elektronischen Geräten
1940,8219,Arbeiter*innen & Angestellte,0,0,0.0,1050,4,2,"Montageberufe, anderweitig nicht genannt"
1945,8311,Arbeiter*innen & Angestellte,0,0,0.0,48240,4,2,Lokomotivführer
1950,8312,Arbeiter*innen & Angestellte,0,0,0.0,15580,4,2,"Bediener von Sicherungs-, Signal- und Leittechnik im Schienennetzbetrieb"
1955,8321,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Kraftradfahrer
1960,8322,Arbeiter*innen & Angestellte,0,0,0.0,334960,4,2,"Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer"
1965,8331,Arbeiter*innen & Angestellte,0,0,0.0,149540,4,2,Busfahrer und Straßenbahnführer
1970,8332,Arbeiter*innen & Angestellte,0,0,0.0,448700,4,2,Fahrer schwerer Lastkraftwagen
1975,8341,Arbeiter*innen & Angestellte,0,0,0.0,12010,4,2,Führer von mobilen land- und forstwirtschaftlichen Maschinen
1980,8342,Arbeiter*innen & Angestellte,0,0,0.0,111340,4,2,Führer von Erdbewegungs- und verwandten Maschinen
1985,8343,Arbeiter*innen & Angestellte,0,0,0.0,33830,4,2,"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen"
1990,8344,Arbeiter*innen & Angestellte,0,0,0.0,110440,4,2,Gabelstaplerfahrer und verwandte Berufe
1995,8350,Arbeiter*innen & Angestellte,0,0,0.0,1910,4,2,Deckspersonal auf Schiffen und verwandte Berufe
2000,9111,Arbeiter*innen & Angestellte,0,0,0.0,176220,4,2,Reinigungspersonal und Hilfskräfte in Privathaushalten
2005,9112,Arbeiter*innen & Angestellte,0,0,0.0,875250,4,2,"Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen"
2010,9121,Arbeiter*innen & Angestellte,0,0,0.0,1860,4,2,Handwäscher und Handbügler
2015,9122,Arbeiter*innen & Angestellte,0,0,0.0,11860,4,2,Fahrzeugreiniger
2020,9123,Arbeiter*innen & Angestellte,0,0,0.0,5400,4,2,Fensterputzer
2025,9129,Arbeiter*innen & Angestellte,0,0,0.0,27760,4,2,Sonstiges Reinigungspersonal
2030,9211,Arbeiter*innen & Angestellte,0,0,0.0,14540,4,2,Hilfsarbeiter im Ackerbau
2035,9212,Arbeiter*innen & Angestellte,0,0,0.0,9610,4,2,Hilfsarbeiter in der Tierhaltung
2040,9213,Arbeiter*innen & Angestellte,0,0,0.0,70540,4,2,Hilfsarbeiter in Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)
2045,9214,Arbeiter*innen & Angestellte,0,0,0.0,74000,4,2,Hilfsarbeiter im Gartenbau
2050,9215,Arbeiter*innen & Angestellte,0,0,0.0,6070,4,2,Hilfsarbeiter in der Forstwirtschaft
2055,9216,Arbeiter*innen & Angestellte,0,0,0.0,850,4,2,Hilfsarbeiter in der Fischerei und Aquakultur
2060,9311,Arbeiter*innen & Angestellte,0,0,0.0,2210,4,2,Hilfsarbeiter im Bergbau und in der Gewinnung von Steinen und Erden
2065,9312,Arbeiter*innen & Angestellte,0,0,0.0,93980,4,2,Hilfsarbeiter im Tiefbau
2070,9313,Arbeiter*innen & Angestellte,0,0,0.0,105880,4,2,Hilfsarbeiter im Hochbau
2075,9321,Arbeiter*innen & Angestellte,0,0,0.0,107760,4,2,Verpacker
2080,9329,Arbeiter*innen & Angestellte,0,0,0.0,309720,4,2,"Hilfsarbeiter bei der Herstellung von Waren, anderweitig nicht genannt"
2085,9331,Arbeiter*innen & Angestellte,0,0,0.0,5030,4,2,Führer von Handwagen und pedalbetriebenen Fahrzeugen
2090,9332,Arbeiter*innen & Angestellte,0,0,0.0,950,4,2,Führer von Fahrzeugen und Maschinen mit Zugtierantrieb
2095,9333,Arbeiter*innen & Angestellte,0,0,0.0,355380,4,2,Frachtarbeiter und verwandte Berufe
2100,9334,Arbeiter*innen & Angestellte,0,0,0.0,108000,4,2,Regalbetreuer und -auffüller
2105,9411,Arbeiter*innen & Angestellte,0,0,0.0,13790,4,2,Zubereiter von Fast Food und anderen Imbissen
2110,9412,Arbeiter*innen & Angestellte,0,0,0.0,248930,4,2,Küchenhilfen
2115,9510,Arbeiter*innen & Angestellte,0,0,0.0,660,4,2,Auf der Straße arbeitende Dienstleistungskräfte und verwandte Berufe
2120,9520,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Straßenverkäufer (ohne Lebensmittel)
2125,9611,Arbeiter*innen & Angestellte,0,0,0.0,20730,4,2,Arbeiter in der Abfall- und Wertstoffsammlung
2130,9612,Arbeiter*innen & Angestellte,0,0,0.0,30340,4,2,Arbeiter in der Abfallsortierung
2135,9613,Arbeiter*innen & Angestellte,0,0,0.0,6610,4,2,Straßenkehrer und verwandte Berufe
2140,9621,Arbeiter*innen & Angestellte,0,0,0.0,156050,4,2,"Boten, Paketauslieferer und Gepäckträger"
2145,9622,Arbeiter*innen & Angestellte,0,0,0.0,450,4,2,Gelegenheitsarbeiter
2150,9623,Arbeiter*innen & Angestellte,0,0,0.0,6980,4,2,"Zählerableser, Automatenbefüller und -kassierer"
2155,9624,Arbeiter*innen & Angestellte,0,0,0.0,0,4,2,Wasserträger und Brennholzsammler
2160,9629,Arbeiter*innen & Angestellte,0,0,0.0,72550,4,2,"Hilfsarbeitskräfte, anderweitig nicht genannt"
2165,0110,Arbeiter*innen & Angestellte,0,0,0.0,21970,4,2,Offiziere in regulären Streitkräften
2170,0210,Arbeiter*innen & Angestellte,0,0,0.0,22020,4,2,Unteroffiziere in regulären Streitkräften
2175,0310,Arbeiter*innen & Angestellte,0,0,0.0,107060,4,2,Angehörige der regulären Streitkräfte in sonstigen Rängen
2180,0110,Selbstständige mit Beschäftigten,0,1,5.0,0,4,2,Offiziere in regulären Streitkräften
2185,0110,Selbstständige ohne Beschäftigte,0,1,0.0,0,4,2,Offiziere in regulären Streitkräften
2190,0210,Selbstständige mit Beschäftigten,0,1,5.0,0,4,2,Unteroffiziere in regulären Streitkräften
2195,0210,Selbstständige ohne Beschäftigte,0,1,0.0,0,4,2,Unteroffiziere in regulären Streitkräften
2200,0310,Selbstständige mit Beschäftigten,0,1,5.0,0,4,2,Angehörige der regulären Streitkräfte in sonstigen Rängen
2205,0310,Selbstständige ohne Beschäftigte,0,1,0.0,0,4,2,Angehörige der regulären Streitkräfte in sonstigen Rängen
2210,1111,Selbstständige mit Beschäftigten,1,1,5.0,610,4,2,Angehörige gesetzgebender Körperschaften
2215,1111,Selbstständige ohne Beschäftigte,1,1,0.0,310,4,2,Angehörige gesetzgebender Körperschaften
2220,1112,Selbstständige mit Beschäftigten,1,1,5.0,0,4,2,Leitende Verwaltungsbedienstete
2225,1112,Selbstständige ohne Beschäftigte,1,1,0.0,0,4,2,Leitende Verwaltungsbedienstete
2230,1113,Selbstständige mit Beschäftigten,1,1,5.0,0,4,2,Traditionelle Dorf- und Stammeshäuptlinge
2235,1113,Selbstständige ohne Beschäftigte,1,1,0.0,0,4,2,Traditionelle Dorf- und Stammeshäuptlinge
2240,1114,Selbstständige mit Beschäftigten,1,1,5.0,0,4,2,Leitende Bedienstete von Interessenorganisationen
2245,1114,Selbstständige ohne Beschäftigte,1,1,0.0,0,4,2,Leitende Bedienstete von Interessenorganisationen
2250,1120,Selbstständige mit Beschäftigten,1,1,5.0,211570,4,2,Geschäftsführer und Vorstände
2255,1120,Selbstständige ohne Beschäftigte,1,1,0.0,31350,4,2,Geschäftsführer und Vorstände
2260,1211,Selbstständige mit Beschäftigten,1,1,5.0,790,4,2,Führungskräfte im Bereich Finanzen
2265,1211,Selbstständige ohne Beschäftigte,1,1,0.0,670,4,2,Führungskräfte im Bereich Finanzen
2270,1212,Selbstständige mit Beschäftigten,1,1,5.0,570,4,2,Führungskräfte im Personalwesen
2275,1212,Selbstständige ohne Beschäftigte,1,1,0.0,410,4,2,Führungskräfte im Personalwesen
2280,1213,Selbstständige mit Beschäftigten,1,1,5.0,0,4,2,Führungskräfte in Unternehmenspolitik und -planung
2285,1213,Selbstständige ohne Beschäftigte,1,1,0.0,0,4,2,Führungskräfte in Unternehmenspolitik und -planung
2290,1219,Selbstständige mit Beschäftigten,1,1,5.0,7670,4,2,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt"
2295,1219,Selbstständige ohne Beschäftigte,1,1,0.0,2240,4,2,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt"
2300,1221,Selbstständige mit Beschäftigten,1,1,5.0,2960,4,2,Führungskräfte in Vertrieb und Marketing
2305,1221,Selbstständige ohne Beschäftigte,1,1,0.0,2180,4,2,Führungskräfte in Vertrieb und Marketing
2310,1222,Selbstständige mit Beschäftigten,1,1,5.0,990,4,2,Führungskräfte in Werbung und Öffentlichkeitsarbeit
2315,1222,Selbstständige ohne Beschäftigte,1,1,0.0,2340,4,2,Führungskräfte in Werbung und Öffentlichkeitsarbeit
2320,1223,Selbstständige mit Beschäftigten,1,1,5.0,0,4,2,Führungskräfte in Forschung und Entwicklung
2325,1223,Selbstständige ohne Beschäftigte,1,1,0.0,0,4,2,Führungskräfte in Forschung und Entwicklung
2330,1311,Selbstständige mit Beschäftigten,1,1,5.0,0,4,2,Führungskräfte in der Produktion in Land- und Forstwirtschaft
2335,1311,Selbstständige ohne Beschäftigte,1,1,0.0,0,4,2,Führungskräfte in der Produktion in Land- und Forstwirtschaft
2340,1312,Selbstständige mit Beschäftigten,1,1,5.0,0,4,2,Führungskräfte in der Produktion in Aquakultur und Fischerei
2345,1312,Selbstständige ohne Beschäftigte,1,1,0.0,0,4,2,Führungskräfte in der Produktion in Aquakultur und Fischerei
2350,1321,Selbstständige mit Beschäftigten,1,1,5.0,1820,4,2,Führungskräfte in der Produktion bei der Herstellung von Waren
2355,1321,Selbstständige ohne Beschäftigte,1,1,0.0,780,4,2,Führungskräfte in der Produktion bei der Herstellung von Waren
2360,1322,Selbstständige mit Beschäftigten,1,1,5.0,0,4,2,Führungskräfte in der Produktion im Bergbau
2365,1322,Selbstständige ohne Beschäftigte,1,1,0.0,0,4,2,Führungskräfte in der Produktion im Bergbau
2370,1323,Selbstständige mit Beschäftigten,1,1,5.0,7640,4,2,Führungskräfte in der Produktion im Bau
2375,1323,Selbstständige ohne Beschäftigte,1,1,0.0,4490,4,2,Führungskräfte in der Produktion im Bau
2380,1324,Selbstständige mit Beschäftigten,1,1,5.0,10750,4,2,"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen"
