,ISCO-Code,Stellung im Beruf,is_supervisor,self_employed,n_employees,Anzahl,control_work,control_daily,Bezeichnung
265,2165,Arbeiter*innen & Angestellte,0,0,0.0,13200,4,2,Kartografen und Vermessungsingenieure
270,2166,Arbeiter*innen & Angestellte,0,0,0.0,93880,4,2,Grafik- und Multimediadesigner
275,2211,Arbeiter*innen & Angestellte,0,0,0.0,104450,4,2,Allgemeinärzte
280,2212,Arbeiter*innen & Angestellte,0,0,0.0,191520,4,2,Fachärzte
285,2221,Arbeiter*innen & Angestellte,0,0,0.0,33160,4,2,Akademische und vergleichbare Krankenpflegefachkräfte
290,2222,Arbeiter*innen & Angestellte,0,0,0.0,14170,4,2,Akademische und vergleichbare Geburtshilfefachkräfte
295,2230,Arbeiter*innen & Angestellte,0,0,0.0,3560,4,2,Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin
300,2240,Arbeiter*innen & Angestellte,0,0,0.0,2150,4,2,Feldscher und vergleichbare paramedizinische Praktiker
305,2250,Arbeiter*innen & Angestellte,0,0,0.0,20780,4,2,Tierärzte
310,2261,Arbeiter*innen & Angestellte,0,0,0.0,28510,4,2,Zahnärzte
315,2262,Arbeiter*innen & Angestellte,0,0,0.0,67710,4,2,Apotheker
320,2263,Arbeiter*innen & Angestellte,0,0,0.0,9890,4,2,Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene
325,2264,Arbeiter*innen & Angestellte,0,0,0.0,153160,4,2,Physiotherapeuten
330,2265,Arbeiter*innen & Angestellte,0,0,0.0,20050,4,2,Diätologen und Ernährungsberater
335,2266,Arbeiter*innen & Angestellte,0,0,0.0,27070,4,2,Audiologen und Sprachtherapeuten
340,2267,Arbeiter*innen & Angestellte,0,0,0.0,2140,4,2,Optometristen und Orthoptisten
345,2269,Arbeiter*innen & Angestellte,0,0,0.0,78270,4,2,"Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt"
350,2310,Arbeiter*innen & Angestellte,0,0,0.0,292330,4,2,Universitäts- und Hochschullehrer
355,2320,Arbeiter*innen & Angestellte,0,0,0.0,222610,4,2,Lehrkräfte im Bereich Berufsbildung
360,2330,Arbeiter*innen & Angestellte,0,0,0.0,565340,4,2,Lehrkräfte im Sekundarbereich
365,2341,Arbeiter*innen & Angestellte,0,0,0.0,214830,4,2,Lehrkräfte im Primarbereich
