,isco_08_key,fraktion,Berufsgattung(ISCO-Stufe 4),Anzahl,median_brutto_group_mean
60,2320.0,Staatsangestellte,Lehrkräfte im Bereich Berufsbildung,254960.0,4427.4
61,2330.0,Staatsangestellte,Lehrkräfte im Sekundarbereich,582590.0,5358.0
62,2341.0,Staatsangestellte,Lehrkräfte im Primarbereich,216800.0,4965.0
63,2351.0,Staatsangestellte,Pädagogik- und Didaktikspezialisten,50450.0,4922.0
64,2352.0,Staatsangestellte,Lehrkräfte im Bereich Sonderpädagogik,124220.0,4643.5
65,2353.0,Hochspezialisierte Beschäftigte,Sonstige Sprachlehrer,18290.0,3618.0
66,2354.0,Hochspezialisierte Beschäftigte,Sonstige Musiklehrer,39810.0,3925.0
67,2355.0,Hochspezialisierte Beschäftigte,Sonstige Kunstlehrer,17150.0,3700.0
68,2356.0,Hochspezialisierte Beschäftigte,Ausbilder im Bereich Informationstechnologie,6880.0,4486.0
69,2359.0,Hochspezialisierte Beschäftigte,"Lehrkräfte, anderweitig nicht genannt",76660.0,5229.5
70,2411.0,Klassisch selbständige Tätigkeit,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",308800.0,5775.777777777777
71,2412.0,Klassisch selbständige Tätigkeit,Finanz- und Anlageberater,94030.0,6736.5
72,2413.0,Hochspezialisierte Beschäftigte,Finanzanalysten,30120.0,6399.0
73,2421.0,Hochspezialisierte Beschäftigte,Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse,411520.0,5696.375
74,2423.0,Hochspezialisierte Beschäftigte,Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute,162950.0,4731.0
75,2424.0,Hochspezialisierte Beschäftigte,Fachkräfte in Personalschulung und -entwicklung,26880.0,5250.0
76,2431.0,Hochspezialisierte Beschäftigte,Akademische und vergleichbare Fachkräfte in Werbung und Marketing,257990.0,4831.8
77,2432.0,Hochspezialisierte Beschäftigte,Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit,46680.0,5637.0
78,2433.0,Hochspezialisierte Beschäftigte,"Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)",234730.0,6275.666666666667
79,2434.0,Hochspezialisierte Beschäftigte,Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie,44110.0,4900.0
80,2511.0,Hochspezialisierte Beschäftigte,Systemanalytiker,321390.0,5733.333333333333
81,2512.0,Hochspezialisierte Beschäftigte,Softwareentwickler,368500.0,5297.0
82,2513.0,Hochspezialisierte Beschäftigte,Web- und Multimediaentwickler,25590.0,4134.5
83,2514.0,Hochspezialisierte Beschäftigte,Anwendungsprogrammierer,55400.0,4690.0
84,2519.0,Hochspezialisierte Beschäftigte,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt",54000.0,5333.0
85,2521.0,Hochspezialisierte Beschäftigte,Datenbankentwickler und -administratoren,11650.0,5483.0
86,2522.0,Hochspezialisierte Beschäftigte,Systemadministratoren,104070.0,4885.0
87,2523.0,Hochspezialisierte Beschäftigte,Akademische und vergleichbare Fachkräfte für Computernetzwerke,8820.0,5452.0
88,2529.0,Hochspezialisierte Beschäftigte,"Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt",6250.0,5798.0
89,2611.0,Klassisch selbständige Tätigkeit,Anwälte,149650.0,7494.0
90,2612.0,Staatsangestellte,Richter,26450.0,7419.0
91,2619.0,Staatsangestellte,"Juristen, anderweitig nicht genannt",107430.0,6794.75
92,2621.0,Hochspezialisierte Beschäftigte,Archiv- und Museumswissenschaftler,19280.0,3576.3333333333335
93,2622.0,Hochspezialisierte Beschäftigte,Bibliothekswissenschaftler und verwandte Informationswissenschaftler,16550.0,4225.0
94,2631.0,Hochspezialisierte Beschäftigte,Volkswirtschaftler,15530.0,4798.0
95,2632.0,Hochspezialisierte Beschäftigte,"Soziologen, Anthropologen und verwandte Wissenschaftler",21440.0,4507.333333333333
