,isco_08_key,fraktion,Berufsgattung(ISCO-Stufe 4),Anzahl,median_brutto_group_mean
266,7316.0,Industriearbeiter,"Schildermaler, Dekormaler, Graveure und Ätzer",15610.0,2730.0
267,7317.0,Industriearbeiter,"Kunsthandwerkliche Berufe für Holz, Korbwaren und verwandte Materialien",3650.0,2125.5
268,7319.0,Industriearbeiter,"Kunsthandwerkliche Berufe, anderweitig nicht genannt",3890.0,2807.5
269,7321.0,Industriearbeiter,Techniker in der Druckvorstufe,73650.0,3149.6666666666665
270,7322.0,Industriearbeiter,Drucker,50520.0,3195.0
271,7323.0,Industriearbeiter,Berufe in der Druckweiterverarbeitung und Buchbinder,9480.0,2800.0
272,7411.0,Industriearbeiter,Bauelektriker und verwandte Berufe,242230.0,3211.0
273,7412.0,Industriearbeiter,Elektromechaniker und verwandte Berufe,183730.0,3823.0
274,7413.0,Industriearbeiter,Elektroleitungsinstallateure und Wartungspersonal,10290.0,3824.0
275,7421.0,Industriearbeiter,Elektroniker und Elektronik-Servicetechniker,120380.0,3706.5714285714284
276,7422.0,Industriearbeiter,Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik,156210.0,4167.0
277,7511.0,Industriearbeiter,"Fleischer, Fischhändler und -verarbeiter und verwandte Berufe",71480.0,2760.0
278,7513.0,Industriearbeiter,Molkerei- und Käsereifachkräfte,2440.0,4253.0
279,7521.0,Industriearbeiter,Holztrockner und -konservierer,0.0,2671.0
280,7522.0,Industriearbeiter,Möbeltischler und verwandte Berufe,197740.0,3043.0
281,7523.0,Industriearbeiter,Einrichter und Bediener von Holzbearbeitungsmaschinen,36200.0,2911.0
282,7532.0,Industriearbeiter,Schnittmustermacher und Zuschneider,1280.0,4571.0
283,7533.0,Industriearbeiter,"Näher, Sticker und verwandte Berufe",20950.0,2262.0
284,7534.0,Industriearbeiter,Polsterer und verwandte Berufe,14510.0,2786.0
285,7535.0,Industriearbeiter,"Pelzveredler, Gerber und Fellzurichter",960.0,3232.0
286,7541.0,Dienstleistungsarbeiter,Taucher,780.0,4171.0
287,7542.0,Industriearbeiter,Sprengmeister und Sprengbeauftragte,2770.0,2850.0
288,7543.0,Dienstleistungsarbeiter,Produkttester und -klassierer (ohne Nahrungsmittel und Getränke),155920.0,3782.0
289,7544.0,Dienstleistungsarbeiter,Kammerjäger und andere Schädlingsbekämpfungsberufe,3600.0,3327.0
290,7549.0,Industriearbeiter,"Handwerks- und verwandte Berufe, anderweitig nicht genannt",65880.0,2828.0
291,8111.0,Industriearbeiter,Bergleute und Grubenarbeiter,12340.0,4282.0
292,8112.0,Industriearbeiter,Bediener von Mineral- und Gesteinsaufbereitungsanlagen,54670.0,3050.0
293,8113.0,Industriearbeiter,Tiefbohrer und verwandte Berufe,4700.0,4028.0
294,8114.0,Industriearbeiter,"Bediener von Maschinen zur Herstellung und Verarbeitung von Zement, Steinen und sonstigen Mineralien",20290.0,3263.0
295,8121.0,Industriearbeiter,Bediener von Anlagen in der Metallerzeugung und -umformung,55800.0,3870.6666666666665
296,8122.0,Industriearbeiter,"Bediener von Anlagen zur Metallveredlung, Plattierung und Beschichtung von Metallen",34930.0,3372.0
297,8131.0,Industriearbeiter,Bediener von Anlagen und Maschinen für chemische Erzeugnisse,111740.0,4405.0
298,8132.0,Industriearbeiter,Bediener von Anlagen für fotografische Erzeugnisse,5170.0,3312.0
299,8154.0,Industriearbeiter,Bediener von Bleich- und Färbemaschinen,6790.0,2877.0
300,8157.0,Industriearbeiter,Bediener von Wäschereimaschinen,40710.0,2280.0
301,8160.0,Industriearbeiter,Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln,71110.0,3439.5714285714284
302,8171.0,Industriearbeiter,Bediener von Anlagen zur Zellstoff- und Papierherstellung,19210.0,4062.0
303,8172.0,Industriearbeiter,Bediener von Anlagen zur Holzaufbereitung,11380.0,2890.0
304,8181.0,Industriearbeiter,Bediener von Anlagen zur Glas- und Keramikherstellung,26900.0,3397.5
305,8189.0,Industriearbeiter,"Bediener stationärer Anlagen und Maschinen, anderweitig nicht genannt",157360.0,3302.0
306,8311.0,Industriearbeiter,Lokomotivführer,48390.0,3758.0
307,8312.0,Industriearbeiter,"Bediener von Sicherungs-, Signal- und Leittechnik im Schienennetzbetrieb",15620.0,3176.5
308,8341.0,Industriearbeiter,Führer von mobilen land- und forstwirtschaftlichen Maschinen,12790.0,2865.0
309,8342.0,Industriearbeiter,Führer von Erdbewegungs- und verwandten Maschinen,115560.0,3378.25
310,8343.0,Industriearbeiter,"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen",34560.0,3654.0
311,8344.0,Industriearbeiter,Gabelstaplerfahrer und verwandte Berufe,111000.0,2863.0
312,8350.0,Industriearbeiter,Deckspersonal auf Schiffen und verwandte Berufe,2090.0,3460.0
313,9111.0,Dienstleistungsarbeiter,Reinigungspersonal und Hilfskräfte in Privathaushalten,181790.0,2554.0
314,9123.0,Dienstleistungsarbeiter,Fensterputzer,6690.0,3222.0
315,9129.0,Dienstleistungsarbeiter,Sonstiges Reinigungspersonal,31520.0,3124.5
316,9212.0,Industriearbeiter,Hilfsarbeiter in der Tierhaltung,10130.0,2491.0
317,9214.0,Industriearbeiter,Hilfsarbeiter im Gartenbau,76880.0,2444.0
318,9215.0,Industriearbeiter,Hilfsarbeiter in der Forstwirtschaft,7830.0,2673.0
319,9216.0,Industriearbeiter,Hilfsarbeiter in der Fischerei und Aquakultur,940.0,1685.0
320,9312.0,Industriearbeiter,Hilfsarbeiter im Tiefbau,95370.0,3442.25
321,9313.0,Industriearbeiter,Hilfsarbeiter im Hochbau,113980.0,2781.6666666666665
322,9329.0,Industriearbeiter,"Hilfsarbeiter bei der Herstellung von Waren, anderweitig nicht genannt",314140.0,2839.266666666667
323,9332.0,Industriearbeiter,Führer von Fahrzeugen und Maschinen mit Zugtierantrieb,1260.0,2852.0
324,9333.0,Industriearbeiter,Frachtarbeiter und verwandte Berufe,360140.0,3749.0
325,9334.0,Dienstleistungsarbeiter,Regalbetreuer und -auffüller,109200.0,2273.0
326,9412.0,Industriearbeiter,Küchenhilfen,250270.0,2304.0
327,9612.0,Industriearbeiter,Arbeiter in der Abfallsortierung,32280.0,2933.0
328,9621.0,Dienstleistungsarbeiter,"Boten, Paketauslieferer und Gepäckträger",157600.0,2659.0
329,9623.0,Dienstleistungsarbeiter,"Zählerableser, Automatenbefüller und -kassierer",9010.0,3625.0
330,9629.0,Dienstleistungsarbeiter,"Hilfsarbeitskräfte, anderweitig nicht genannt",74020.0,2300.5
