"","X","ISCO.Code","Stellung.im.Beruf","is_supervisor","self_employed","n_employees","Anzahl","control_work","control_daily","Bezeichnung","isco88","isco88com","simple_wright","power_wright","oesch8","egp7","siops"
"28",135,"1412","Arbeiter*innen & Angestellte",1,0,0,49290,4,2,"Führungskräfte in Restaurants","1315","1315","Skilled manager/superv","Skilled workers","'(Associate) managers'","'II  Service class II'","39.91"
"29",140,"1420","Arbeiter*innen & Angestellte",1,0,0,74390,4,2,"Führungskräfte in Groß- und Einzelhandel","1314","1314","Skilled manager/superv","Skilled workers","'(Associate) managers'","'II  Service class II'","45.13"
"30",145,"1431","Arbeiter*innen & Angestellte",1,0,0,14400,4,2,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur","1319","1319","Expert managers","Skilled workers","'(Associate) managers'","'II  Service class II'","47.00"
"31",150,"1439","Arbeiter*innen & Angestellte",1,0,0,3440,4,2,"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt","1319","1319","Expert managers","Skilled workers","'(Associate) managers'","'II  Service class II'","47.00"
"32",155,"2111","Arbeiter*innen & Angestellte",0,0,0,22120,4,2,"Physiker und Astronomen","2111","2111","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","75.68"
"33",160,"2112","Arbeiter*innen & Angestellte",0,0,0,1540,4,2,"Meteorologen","2112","2112","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","69.51"
"34",165,"2113","Arbeiter*innen & Angestellte",0,0,0,28320,4,2,"Chemiker","2113","2113","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","69.00"
"35",170,"2114","Arbeiter*innen & Angestellte",0,0,0,9920,4,2,"Geologen und Geophysiker","2114","2114","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","67.00"
"36",175,"2120","Arbeiter*innen & Angestellte",0,0,0,26250,4,2,"Mathematiker, Versicherungsmathematiker und Statistiker","2120","2120","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","58.16"
"37",180,"2131","Arbeiter*innen & Angestellte",0,0,0,39220,4,2,"Biologen, Botaniker, Zoologen und verwandte Berufe","2211","2211","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","62.66"
"38",185,"2132","Arbeiter*innen & Angestellte",0,0,0,38910,4,2,"Agrar-, Forst- und Fischereiwissenschaftler und -berater","2213","2213","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","62.66"
"39",190,"2133","Arbeiter*innen & Angestellte",0,0,0,20470,4,2,"Umweltwissenschaftler","2200","2200","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","62.66"
"40",195,"2141","Arbeiter*innen & Angestellte",0,0,0,144300,4,2,"Wirtschafts- und Produktionsingenieure","2149","2149","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","54.00"
"41",200,"2142","Arbeiter*innen & Angestellte",0,0,0,84560,4,2,"Bauingenieure","2142","2142","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","70.00"
"42",205,"2143","Arbeiter*innen & Angestellte",0,0,0,15080,4,2,"Umweltschutzingenieure","2149","2149","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","61.69"
"43",210,"2144","Arbeiter*innen & Angestellte",0,0,0,275990,4,2,"Maschinenbauingenieure","2145","2145","Expert workers","Skilled workers","'Technical (semi-)professionals'","'I   Service class I'","66.00"
