"","X","ISCO.Code","Stellung.im.Beruf","is_supervisor","self_employed","n_employees","Anzahl","control_work","control_daily","Bezeichnung","isco88","isco88com","simple_wright","power_wright","oesch8","egp7","siops"
"350",1745,"7531","Arbeiter*innen & Angestellte",0,0,0,18020,4,2,"Herren- und Damenschneider, Kürschner und Hutmacher","7434","7434","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","38.57"
"351",1750,"7532","Arbeiter*innen & Angestellte",0,0,0,1150,4,2,"Schnittmustermacher und Zuschneider","7435","7435","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","41.00"
"352",1755,"7533","Arbeiter*innen & Angestellte",0,0,0,18840,4,2,"Näher, Sticker und verwandte Berufe","7436","7436","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","26.00"
"353",1760,"7534","Arbeiter*innen & Angestellte",0,0,0,12590,4,2,"Polsterer und verwandte Berufe","7437","7437","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","31.00"
"354",1765,"7535","Arbeiter*innen & Angestellte",0,0,0,920,4,2,"Pelzveredler, Gerber und Fellzurichter","7441","7441","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","22.00"
"355",1770,"7536","Arbeiter*innen & Angestellte",0,0,0,8650,4,2,"Schuhmacher und verwandte Berufe","7442","7442","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","27.37"
"356",1775,"7541","Arbeiter*innen & Angestellte",0,0,0,510,4,2,"Taucher","7216","7216","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","39.22"
"357",1780,"7542","Arbeiter*innen & Angestellte",0,0,0,2570,4,2,"Sprengmeister und Sprengbeauftragte","7112","7112","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","39.22"
"358",1785,"7543","Arbeiter*innen & Angestellte",0,0,0,154240,4,2,"Produkttester und -klassierer (ohne Nahrungsmittel und Getränke)","3152","3152","Expert workers","Skilled workers","'Production workers'","'II  Service class II'","38.81"
"359",1790,"7544","Arbeiter*innen & Angestellte",0,0,0,2940,4,2,"Kammerjäger und andere Schädlingsbekämpfungsberufe","7143","7143","Skilled workers","Skilled workers","'Production workers'","'VI  Skilled workers'","39.22"
"360",1795,"7549","Arbeiter*innen & Angestellte",0,0,0,55010,4,2,"Handwerks- und verwandte Berufe, anderweitig nicht genannt","7000","7000","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","41.00"
"361",1800,"8111","Arbeiter*innen & Angestellte",0,0,0,12060,4,2,"Bergleute und Grubenarbeiter","7111","7111","Skilled workers","Skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","32.25"
"362",1805,"8112","Arbeiter*innen & Angestellte",0,0,0,51960,4,2,"Bediener von Mineral- und Gesteinsaufbereitungsanlagen","8112","8112","Low skilled workers","Low skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","32.00"
"363",1810,"8113","Arbeiter*innen & Angestellte",0,0,0,4390,4,2,"Tiefbohrer und verwandte Berufe","8113","8113","Low skilled workers","Low skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","31.00"
"364",1815,"8114","Arbeiter*innen & Angestellte",0,0,0,19790,4,2,"Bediener von Maschinen zur Herstellung und Verarbeitung von Zement, Steinen und sonstigen Mineralien","8212","8212","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","30.00"
"365",1820,"8121","Arbeiter*innen & Angestellte",0,0,0,55290,4,2,"Bediener von Anlagen in der Metallerzeugung und -umformung","8120","8120","Low skilled workers","Low skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","41.13"
"366",1825,"8122","Arbeiter*innen & Angestellte",0,0,0,34310,4,2,"Bediener von Anlagen zur Metallveredlung, Plattierung und Beschichtung von Metallen","8223","8223","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","28.00"
"367",1830,"8131","Arbeiter*innen & Angestellte",0,0,0,111320,4,2,"Bediener von Anlagen und Maschinen für chemische Erzeugnisse","8220","8220","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","31.55"
"368",1835,"8132","Arbeiter*innen & Angestellte",0,0,0,4820,4,2,"Bediener von Anlagen für fotografische Erzeugnisse","8224","8224","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","36.00"
"369",1840,"8141","Arbeiter*innen & Angestellte",0,0,0,7620,4,2,"Bediener von Maschinen zur Herstellung von Gummiwaren","8231","8231","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","30.00"
"370",1845,"8142","Arbeiter*innen & Angestellte",0,0,0,58290,4,2,"Bediener von Maschinen zur Herstellung von Kunststoffwaren","8232","8232","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","29.30"
"371",1850,"8143","Arbeiter*innen & Angestellte",0,0,0,45650,4,2,"Bediener von Maschinen zur Herstellung von Papierwaren","8253","8253","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","28.00"
"372",1855,"8151","Arbeiter*innen & Angestellte",0,0,0,2220,4,2,"Bediener von Spinnstoffaufbereitungs-, Spinn- und Spulmaschinen","8261","8261","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","32.64"
"373",1860,"8152","Arbeiter*innen & Angestellte",0,0,0,13370,4,2,"Bediener von Web-, Strick- und Wirkmaschinen","8262","8262","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","30.20"
"374",1865,"8153","Arbeiter*innen & Angestellte",0,0,0,9300,4,2,"Bediener von Nähmaschinen","8263","8263","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","27.86"
"375",1870,"8154","Arbeiter*innen & Angestellte",0,0,0,6210,4,2,"Bediener von Bleich- und Färbemaschinen","8264","8264","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","23.32"
"376",1875,"8155","Arbeiter*innen & Angestellte",0,0,0,580,4,2,"Bediener von Pelz- und Lederzurichtungs- und -vorbereitungsmaschinen","8265","8265","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","27.86"
"377",1880,"8156","Arbeiter*innen & Angestellte",0,0,0,3720,4,2,"Bediener von Maschinen zur Schuhherstellung und verwandte Berufe","8266","8266","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","27.86"
"378",1885,"8157","Arbeiter*innen & Angestellte",0,0,0,38430,4,2,"Bediener von Wäschereimaschinen","8264","8264","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","27.86"
"379",1890,"8159","Arbeiter*innen & Angestellte",0,0,0,4360,4,2,"Bediener von Maschinen zur Herstellung von Textil-, Pelz- und Lederwaren, anderweitig nicht genannt","8269","8269","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","27.86"
"380",1895,"8160","Arbeiter*innen & Angestellte",0,0,0,67190,4,2,"Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln","8270","8270","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","36.28"
"381",1900,"8171","Arbeiter*innen & Angestellte",0,0,0,19100,4,2,"Bediener von Anlagen zur Zellstoff- und Papierherstellung","8140","8140","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","28.00"
"382",1905,"8172","Arbeiter*innen & Angestellte",0,0,0,10580,4,2,"Bediener von Anlagen zur Holzaufbereitung","8141","8141","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","29.95"
"383",1910,"8181","Arbeiter*innen & Angestellte",0,0,0,26400,4,2,"Bediener von Anlagen zur Glas- und Keramikherstellung","8131","8131","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","25.00"
"384",1915,"8182","Arbeiter*innen & Angestellte",0,0,0,7810,4,2,"Bediener von Dampfmaschinen und -kesseln","8162","8162","Low skilled workers","Low skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","25.00"
"385",1920,"8183","Arbeiter*innen & Angestellte",0,0,0,74360,4,2,"Bediener von Verpackungs-, Abfüll- und Etikettiermaschinen","8290","8290","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","25.00"
"386",1925,"8189","Arbeiter*innen & Angestellte",0,0,0,156360,4,2,"Bediener stationärer Anlagen und Maschinen, anderweitig nicht genannt","8290","8290","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","25.00"
"387",1930,"8211","Arbeiter*innen & Angestellte",0,0,0,75890,4,2,"Berufe der Montage von mechanischen Bauteilen","8281","8281","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","39.34"
"388",1935,"8212","Arbeiter*innen & Angestellte",0,0,0,47900,4,2,"Berufe der Montage von elektrischen und elektronischen Geräten","8283","8283","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","48.00"
"389",1940,"8219","Arbeiter*innen & Angestellte",0,0,0,1050,4,2,"Montageberufe, anderweitig nicht genannt","8290","8290","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","39.34"
"390",1945,"8311","Arbeiter*innen & Angestellte",0,0,0,48240,4,2,"Lokomotivführer","8311","8311","Low skilled workers","Low skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","39.41"
"391",1950,"8312","Arbeiter*innen & Angestellte",0,0,0,15580,4,2,"Bediener von Sicherungs-, Signal- und Leittechnik im Schienennetzbetrieb","8312","8312","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","29.09"
"392",1955,"8321","Arbeiter*innen & Angestellte",0,0,0,0,4,2,"Kraftradfahrer","8321","8321","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","30.76"
"393",1960,"8322","Arbeiter*innen & Angestellte",0,0,0,334960,4,2,"Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer","8322","8322","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","30.76"
"394",1965,"8331","Arbeiter*innen & Angestellte",0,0,0,149540,4,2,"Busfahrer und Straßenbahnführer","8323","8323","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","32.00"
"395",1970,"8332","Arbeiter*innen & Angestellte",0,0,0,448700,4,2,"Fahrer schwerer Lastkraftwagen","8324","8324","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","33.00"
"396",1975,"8341","Arbeiter*innen & Angestellte",0,0,0,12010,4,2,"Führer von mobilen land- und forstwirtschaftlichen Maschinen","8331","8331","Low skilled workers","Low skilled workers","'Production workers'","'VII Unskilled workers/Farm labours'","31.00"
"397",1980,"8342","Arbeiter*innen & Angestellte",0,0,0,111340,4,2,"Führer von Erdbewegungs- und verwandten Maschinen","8332","8332","Low skilled workers","Low skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","32.00"
"398",1985,"8343","Arbeiter*innen & Angestellte",0,0,0,33830,4,2,"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen","8333","8333","Low skilled workers","Low skilled workers","'Production workers'","'V   Manual supervisors/Lower grade technicians'","32.39"
"399",1990,"8344","Arbeiter*innen & Angestellte",0,0,0,110440,4,2,"Gabelstaplerfahrer und verwandte Berufe","8334","8334","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","28.00"
"400",1995,"8350","Arbeiter*innen & Angestellte",0,0,0,1910,4,2,"Deckspersonal auf Schiffen und verwandte Berufe","8340","8340","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","28.69"
"401",2000,"9111","Arbeiter*innen & Angestellte",0,0,0,176220,4,2,"Reinigungspersonal und Hilfskräfte in Privathaushalten","9131","9131","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","20.00"
"402",2005,"9112","Arbeiter*innen & Angestellte",0,0,0,875250,4,2,"Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen","9132","9132","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","20.00"
"403",2010,"9121","Arbeiter*innen & Angestellte",0,0,0,1860,4,2,"Handwäscher und Handbügler","9133","9133","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","20.03"
"404",2015,"9122","Arbeiter*innen & Angestellte",0,0,0,11860,4,2,"Fahrzeugreiniger","9142","9142","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","20.03"
"405",2020,"9123","Arbeiter*innen & Angestellte",0,0,0,5400,4,2,"Fensterputzer","9142","9142","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","20.03"
"406",2025,"9129","Arbeiter*innen & Angestellte",0,0,0,27760,4,2,"Sonstiges Reinigungspersonal","9140","9140","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","20.03"
"407",2030,"9211","Arbeiter*innen & Angestellte",0,0,0,14540,4,2,"Hilfsarbeiter im Ackerbau","9211","9211","Low skilled workers","Low skilled workers","'Production workers'","'VII Unskilled workers/Farm labours'","21.00"
"408",2035,"9212","Arbeiter*innen & Angestellte",0,0,0,9610,4,2,"Hilfsarbeiter in der Tierhaltung","9211","9211","Low skilled workers","Low skilled workers","'Production workers'","'VII Unskilled workers/Farm labours'","26.00"
"409",2040,"9213","Arbeiter*innen & Angestellte",0,0,0,70540,4,2,"Hilfsarbeiter in Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)","9211","9211","Low skilled workers","Low skilled workers","'Production workers'","'VII Unskilled workers/Farm labours'","22.28"
"410",2045,"9214","Arbeiter*innen & Angestellte",0,0,0,74000,4,2,"Hilfsarbeiter im Gartenbau","9211","9211","Low skilled workers","Low skilled workers","'Production workers'","'VII Unskilled workers/Farm labours'","21.00"
"411",2050,"9215","Arbeiter*innen & Angestellte",0,0,0,6070,4,2,"Hilfsarbeiter in der Forstwirtschaft","9212","9212","Low skilled workers","Low skilled workers","'Production workers'","'VII Unskilled workers/Farm labours'","42.00"
"412",2055,"9216","Arbeiter*innen & Angestellte",0,0,0,850,4,2,"Hilfsarbeiter in der Fischerei und Aquakultur","9213","9213","Low skilled workers","Low skilled workers","'Production workers'","'VII Unskilled workers/Farm labours'","22.28"
"413",2060,"9311","Arbeiter*innen & Angestellte",0,0,0,2210,4,2,"Hilfsarbeiter im Bergbau und in der Gewinnung von Steinen und Erden","9311","9311","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","18.02"
"414",2065,"9312","Arbeiter*innen & Angestellte",0,0,0,93980,4,2,"Hilfsarbeiter im Tiefbau","9312","9312","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","27.60"
"415",2070,"9313","Arbeiter*innen & Angestellte",0,0,0,105880,4,2,"Hilfsarbeiter im Hochbau","9313","9313","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","15.00"
"416",2075,"9321","Arbeiter*innen & Angestellte",0,0,0,107760,4,2,"Verpacker","9322","9320","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","22.00"
"417",2080,"9329","Arbeiter*innen & Angestellte",0,0,0,309720,4,2,"Hilfsarbeiter bei der Herstellung von Waren, anderweitig nicht genannt","9320","9320","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","21.08"
"418",2085,"9331","Arbeiter*innen & Angestellte",0,0,0,5030,4,2,"Führer von Handwagen und pedalbetriebenen Fahrzeugen","9331","9330","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","17.00"
"419",2090,"9332","Arbeiter*innen & Angestellte",0,0,0,950,4,2,"Führer von Fahrzeugen und Maschinen mit Zugtierantrieb","9332","9330","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","23.97"
"420",2095,"9333","Arbeiter*innen & Angestellte",0,0,0,355380,4,2,"Frachtarbeiter und verwandte Berufe","9333","9330","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","20.30"
"421",2100,"9334","Arbeiter*innen & Angestellte",0,0,0,108000,4,2,"Regalbetreuer und -auffüller","9333","9330","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","20.39"
"422",2105,"9411","Arbeiter*innen & Angestellte",0,0,0,13790,4,2,"Zubereiter von Fast Food und anderen Imbissen","5122","5122","Skilled workers","Skilled workers","'Service workers'","'V   Manual supervisors/Lower grade technicians'","22.00"
"423",2110,"9412","Arbeiter*innen & Angestellte",0,0,0,248930,4,2,"Küchenhilfen","9132","9132","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","22.00"
"424",2115,"9510","Arbeiter*innen & Angestellte",0,0,0,660,4,2,"Auf der Straße arbeitende Dienstleistungskräfte und verwandte Berufe","9120","9120","Low skilled workers","Low skilled workers","'Service workers'","'VI  Skilled workers'","12.00"
"425",2120,"9520","Arbeiter*innen & Angestellte",0,0,0,0,4,2,"Straßenverkäufer (ohne Lebensmittel)","9112","9111","Low skilled workers","Low skilled workers","'Service workers'","'III Routine non-manual'","21.80"
"426",2125,"9611","Arbeiter*innen & Angestellte",0,0,0,20730,4,2,"Arbeiter in der Abfall- und Wertstoffsammlung","9161","9161","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","13.00"
"427",2130,"9612","Arbeiter*innen & Angestellte",0,0,0,30340,4,2,"Arbeiter in der Abfallsortierung","9161","9161","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","13.00"
"428",2135,"9613","Arbeiter*innen & Angestellte",0,0,0,6610,4,2,"Straßenkehrer und verwandte Berufe","9162","9162","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","13.00"
"429",2140,"9621","Arbeiter*innen & Angestellte",0,0,0,156050,4,2,"Boten, Paketauslieferer und Gepäckträger","9151","9151","Low skilled workers","Low skilled workers","'Clerks'","'VI  Skilled workers'","23.13"
"430",2145,"9622","Arbeiter*innen & Angestellte",0,0,0,450,4,2,"Gelegenheitsarbeiter","9160","9160","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","22.88"
"431",2150,"9623","Arbeiter*innen & Angestellte",0,0,0,6980,4,2,"Zählerableser, Automatenbefüller und -kassierer","9153","9153","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","21.00"
"432",2155,"9624","Arbeiter*innen & Angestellte",0,0,0,0,4,2,"Wasserträger und Brennholzsammler","9160","9160","Low skilled workers","Low skilled workers","'Production workers'","'VI  Skilled workers'","22.88"
"433",2160,"9629","Arbeiter*innen & Angestellte",0,0,0,72550,4,2,"Hilfsarbeitskräfte, anderweitig nicht genannt","9100","9100","Low skilled workers","Low skilled workers","'Production workers'","'III Routine non-manual'","24.00"
"434",2165,"0110","Arbeiter*innen & Angestellte",0,0,0,21970,4,2,"Offiziere in regulären Streitkräften","0110","0100","Self empl w/no empoyees","Self empl","'(Associate) managers'",NA,"48.68"
"435",2170,"0210","Arbeiter*innen & Angestellte",0,0,0,22020,4,2,"Unteroffiziere in regulären Streitkräften","0110","0100","Self empl w/no empoyees","Self empl","'(Associate) managers'",NA,"39.00"
"436",2175,"0310","Arbeiter*innen & Angestellte",0,0,0,107060,4,2,"Angehörige der regulären Streitkräfte in sonstigen Rängen","0110","0100","Self empl w/no empoyees","Self empl",NA,NA,"43.23"
"437",2180,"0110","Selbstständige mit Beschäftigten",0,1,5,0,4,2,"Offiziere in regulären Streitkräften","0110","0100","Self empl w/1-9 employees","Small Employers",NA,NA,"48.68"
"438",2185,"0110","Selbstständige ohne Beschäftigte",0,1,0,0,4,2,"Offiziere in regulären Streitkräften","0110","0100","Self empl w/no empoyees","Self empl",NA,NA,"48.68"
"439",2190,"0210","Selbstständige mit Beschäftigten",0,1,5,0,4,2,"Unteroffiziere in regulären Streitkräften","0110","0100","Self empl w/1-9 employees","Small Employers",NA,NA,"39.00"
"440",2195,"0210","Selbstständige ohne Beschäftigte",0,1,0,0,4,2,"Unteroffiziere in regulären Streitkräften","0110","0100","Self empl w/no empoyees","Self empl",NA,NA,"39.00"
"441",2200,"0310","Selbstständige mit Beschäftigten",0,1,5,0,4,2,"Angehörige der regulären Streitkräfte in sonstigen Rängen","0110","0100","Self empl w/1-9 employees","Small Employers",NA,NA,"43.23"
"442",2205,"0310","Selbstständige ohne Beschäftigte",0,1,0,0,4,2,"Angehörige der regulären Streitkräfte in sonstigen Rängen","0110","0100","Self empl w/no empoyees","Self empl",NA,NA,"43.23"
"443",2210,"1111","Selbstständige mit Beschäftigten",1,1,5,610,4,2,"Angehörige gesetzgebender Körperschaften","1110","1110","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","64.00"
"444",2215,"1111","Selbstständige ohne Beschäftigte",1,1,0,310,4,2,"Angehörige gesetzgebender Körperschaften","1110","1110","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","64.00"
"445",2220,"1112","Selbstständige mit Beschäftigten",1,1,5,0,4,2,"Leitende Verwaltungsbedienstete","1120","1110","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","66.84"
"446",2225,"1112","Selbstständige ohne Beschäftigte",1,1,0,0,4,2,"Leitende Verwaltungsbedienstete","1120","1110","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","66.84"
"447",2230,"1113","Selbstständige mit Beschäftigten",1,1,5,0,4,2,"Traditionelle Dorf- und Stammeshäuptlinge","1130","1110","Self empl w/1-9 employees","Small Employers","'Small business owners'","'II  Service class II'","42.00"
"448",2235,"1113","Selbstständige ohne Beschäftigte",1,1,0,0,4,2,"Traditionelle Dorf- und Stammeshäuptlinge","1130","1110","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","42.00"
"449",2240,"1114","Selbstständige mit Beschäftigten",1,1,5,0,4,2,"Leitende Bedienstete von Interessenorganisationen","1140","1140","Self empl w/1-9 employees","Small Employers","'Small business owners'","'II  Service class II'","54.88"
"450",2245,"1114","Selbstständige ohne Beschäftigte",1,1,0,0,4,2,"Leitende Bedienstete von Interessenorganisationen","1140","1140","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","54.88"
"451",2250,"1120","Selbstständige mit Beschäftigten",1,1,5,211570,4,2,"Geschäftsführer und Vorstände","1210","1210","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","64.51"
"452",2255,"1120","Selbstständige ohne Beschäftigte",1,1,0,31350,4,2,"Geschäftsführer und Vorstände","1210","1210","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","64.51"
"453",2260,"1211","Selbstständige mit Beschäftigten",1,1,5,790,4,2,"Führungskräfte im Bereich Finanzen","1231","1231","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","49.00"
"454",2265,"1211","Selbstständige ohne Beschäftigte",1,1,0,670,4,2,"Führungskräfte im Bereich Finanzen","1231","1231","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","49.00"
"455",2270,"1212","Selbstständige mit Beschäftigten",1,1,5,570,4,2,"Führungskräfte im Personalwesen","1232","1232","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","58.00"
"456",2275,"1212","Selbstständige ohne Beschäftigte",1,1,0,410,4,2,"Führungskräfte im Personalwesen","1232","1232","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","58.00"
"457",2280,"1213","Selbstständige mit Beschäftigten",1,1,5,0,4,2,"Führungskräfte in Unternehmenspolitik und -planung","1239","1239","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","53.28"
"458",2285,"1213","Selbstständige ohne Beschäftigte",1,1,0,0,4,2,"Führungskräfte in Unternehmenspolitik und -planung","1239","1239","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","53.28"
"459",2290,"1219","Selbstständige mit Beschäftigten",1,1,5,7670,4,2,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt","1229","1229","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","53.28"
"460",2295,"1219","Selbstständige ohne Beschäftigte",1,1,0,2240,4,2,"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen, anderweitig nicht genannt","1229","1229","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","53.28"
"461",2300,"1221","Selbstständige mit Beschäftigten",1,1,5,2960,4,2,"Führungskräfte in Vertrieb und Marketing","1233","1233","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","52.00"
"462",2305,"1221","Selbstständige ohne Beschäftigte",1,1,0,2180,4,2,"Führungskräfte in Vertrieb und Marketing","1233","1233","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","52.00"
"463",2310,"1222","Selbstständige mit Beschäftigten",1,1,5,990,4,2,"Führungskräfte in Werbung und Öffentlichkeitsarbeit","1234","1234","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","52.36"
"464",2315,"1222","Selbstständige ohne Beschäftigte",1,1,0,2340,4,2,"Führungskräfte in Werbung und Öffentlichkeitsarbeit","1234","1234","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","52.36"
"465",2320,"1223","Selbstständige mit Beschäftigten",1,1,5,0,4,2,"Führungskräfte in Forschung und Entwicklung","1237","1237","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","52.36"
"466",2325,"1223","Selbstständige ohne Beschäftigte",1,1,0,0,4,2,"Führungskräfte in Forschung und Entwicklung","1237","1237","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","52.36"
"467",2330,"1311","Selbstständige mit Beschäftigten",1,1,5,0,4,2,"Führungskräfte in der Produktion in Land- und Forstwirtschaft","1221","1221","Self empl w/1-9 employees","Small Employers","'Small business owners'","'VII Unskilled workers/Farm labours'","61.15"
"468",2335,"1311","Selbstständige ohne Beschäftigte",1,1,0,0,4,2,"Führungskräfte in der Produktion in Land- und Forstwirtschaft","1221","1221","Self empl w/no empoyees","Self empl","'Small business owners'","'VII Unskilled workers/Farm labours'","61.15"
"469",2340,"1312","Selbstständige mit Beschäftigten",1,1,5,0,4,2,"Führungskräfte in der Produktion in Aquakultur und Fischerei","1221","1221","Self empl w/1-9 employees","Small Employers","'Small business owners'","'VII Unskilled workers/Farm labours'","61.15"
"470",2345,"1312","Selbstständige ohne Beschäftigte",1,1,0,0,4,2,"Führungskräfte in der Produktion in Aquakultur und Fischerei","1221","1221","Self empl w/no empoyees","Self empl","'Small business owners'","'VII Unskilled workers/Farm labours'","61.15"
"471",2350,"1321","Selbstständige mit Beschäftigten",1,1,5,1820,4,2,"Führungskräfte in der Produktion bei der Herstellung von Waren","1222","1222","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","64.00"
"472",2355,"1321","Selbstständige ohne Beschäftigte",1,1,0,780,4,2,"Führungskräfte in der Produktion bei der Herstellung von Waren","1222","1222","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","64.00"
"473",2360,"1322","Selbstständige mit Beschäftigten",1,1,5,0,4,2,"Führungskräfte in der Produktion im Bergbau","1222","1222","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","60.67"
"474",2365,"1322","Selbstständige ohne Beschäftigte",1,1,0,0,4,2,"Führungskräfte in der Produktion im Bergbau","1222","1222","Self empl w/no empoyees","Self empl","'Small business owners'","'I   Service class I'","60.67"
"475",2370,"1323","Selbstständige mit Beschäftigten",1,1,5,7640,4,2,"Führungskräfte in der Produktion im Bau","1223","1223","Self empl w/1-9 employees","Small Employers","'Small business owners'","'I   Service class I'","53.00"
