,ISCO-Code,Berufsgattung(ISCO-Stufe 4),Anzahl,percent,fraktion,major_group
55,2164,"Raum-, Stadt- und Verkehrsplaner",32450,0.07906255443925889,Hochspezialisierte Beschäftigte,Akademische Berufe
56,2165,Kartografen und Vermessungsingenieure,15690,0.0382277805593828,Hochspezialisierte Beschäftigte,Akademische Berufe
57,2166,Grafik- und Multimediadesigner,147230,0.35871740801516444,Hochspezialisierte Beschäftigte,Akademische Berufe
58,2211,Allgemeinärzte,156250,0.3806941180626872,Hochspezialisierte Beschäftigte,Akademische Berufe
59,2212,Fachärzte,255780,0.6231932257156745,Hochspezialisierte Beschäftigte,Akademische Berufe
60,2221,Akademische und vergleichbare Krankenpflegefachkräfte,34700,0.08454454973936158,Hochspezialisierte Beschäftigte,Akademische Berufe
61,2222,Akademische und vergleichbare Geburtshilfefachkräfte,25800,0.06286021277451091,Hochspezialisierte Beschäftigte,Akademische Berufe
62,2230,Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin,34470,0.08398416799757331,Hochspezialisierte Beschäftigte,Akademische Berufe
63,2240,Feldscher und vergleichbare paramedizinische Praktiker,2180,0.005311444335210612,Hochspezialisierte Beschäftigte,Akademische Berufe
64,2250,Tierärzte,34810,0.0848125583984777,Hochspezialisierte Beschäftigte,Akademische Berufe
65,2261,Zahnärzte,71880,0.17513147652061412,Hochspezialisierte Beschäftigte,Akademische Berufe
66,2262,Apotheker,82100,0.20003191739485837,Hochspezialisierte Beschäftigte,Akademische Berufe
67,2263,Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene,10460,0.025485187039588537,Hochspezialisierte Beschäftigte,Akademische Berufe
68,2264,Physiotherapeuten,198970,0.48477893549397044,Hochspezialisierte Beschäftigte,Akademische Berufe
69,2265,Diätologen und Ernährungsberater,24430,0.05952228674733727,Hochspezialisierte Beschäftigte,Akademische Berufe
70,2266,Audiologen und Sprachtherapeuten,38950,0.09489942975066668,Hochspezialisierte Beschäftigte,Akademische Berufe
71,2267,Optometristen und Orthoptisten,2540,0.006188563583227044,Hochspezialisierte Beschäftigte,Akademische Berufe
72,2269,"Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt",92120,0.2244450697979824,Hochspezialisierte Beschäftigte,Akademische Berufe
73,2310,Universitäts- und Hochschullehrer,307650,0.7495714907007086,Hochspezialisierte Beschäftigte,Akademische Berufe
74,2320,Lehrkräfte im Bereich Berufsbildung,254960,0.6211953429840815,Hochspezialisierte Beschäftigte,Akademische Berufe
75,2330,Lehrkräfte im Sekundarbereich,582590,1.4194469519497022,Hochspezialisierte Beschäftigte,Akademische Berufe
76,2341,Lehrkräfte im Primarbereich,216800,0.5282207026943397,Hochspezialisierte Beschäftigte,Akademische Berufe
77,2342,Lehrkräfte und Erzieher im Vorschulbereich,713940,1.7394736553579193,Hochspezialisierte Beschäftigte,Akademische Berufe
78,2351,Pädagogik- und Didaktikspezialisten,50450,0.12291851684008044,Hochspezialisierte Beschäftigte,Akademische Berufe
79,2352,Lehrkräfte im Bereich Sonderpädagogik,124220,0.30265486941278086,Hochspezialisierte Beschäftigte,Akademische Berufe
80,2353,Sonstige Sprachlehrer,18290,0.04456253068394592,Hochspezialisierte Beschäftigte,Akademische Berufe
81,2354,Sonstige Musiklehrer,39810,0.0969947701764837,Hochspezialisierte Beschäftigte,Akademische Berufe
82,2355,Sonstige Kunstlehrer,17150,0.04178498639856055,Hochspezialisierte Beschäftigte,Akademische Berufe
83,2356,Ausbilder im Bereich Informationstechnologie,6880,0.016762723406536246,Hochspezialisierte Beschäftigte,Akademische Berufe
84,2359,"Lehrkräfte, anderweitig nicht genannt",76660,0.18677767098038786,Hochspezialisierte Beschäftigte,Akademische Berufe
85,2411,"Wirtschaftsprüfer, Steuerberater und verwandte Berufe",308800,0.75237339940965,Hochspezialisierte Beschäftigte,Akademische Berufe
86,2412,Finanz- und Anlageberater,94030,0.22909867469718065,Hochspezialisierte Beschäftigte,Akademische Berufe
87,2413,Finanzanalysten,30120,0.0733856437507081,Hochspezialisierte Beschäftigte,Akademische Berufe
88,2421,Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse,411520,1.002644758177005,Hochspezialisierte Beschäftigte,Akademische Berufe
89,2422,Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft ,111030,0.270518194742401,,Akademische Berufe
90,2423,Berufsberater und -analytiker und akademische und vergleichbare Personalfachleute,162950,0.39701828184521526,Hochspezialisierte Beschäftigte,Akademische Berufe
91,2424,Fachkräfte in Personalschulung und -entwicklung,26880,0.06549157051856021,Hochspezialisierte Beschäftigte,Akademische Berufe
92,2431,Akademische und vergleichbare Fachkräfte in Werbung und Marketing,257990,0.6285777633215531,Hochspezialisierte Beschäftigte,Akademische Berufe
93,2432,Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit,46680,0.11373312915946394,Hochspezialisierte Beschäftigte,Akademische Berufe
94,2433,"Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)",234730,0.5719061141302693,Hochspezialisierte Beschäftigte,Akademische Berufe
95,2434,Akademische und vergleichbare Fachkräfte im Vertrieb von Informations- und Kommunikationstechnologie,44110,0.10747147230556885,Hochspezialisierte Beschäftigte,Akademische Berufe
96,2511,Systemanalytiker,321390,0.7830482086666691,Hochspezialisierte Beschäftigte,Akademische Berufe
97,2512,Softwareentwickler,368500,0.8978290080390414,Hochspezialisierte Beschäftigte,Akademische Berufe
98,2513,Web- und Multimediaentwickler,25590,0.06234855987983466,Hochspezialisierte Beschäftigte,Akademische Berufe
99,2514,Anwendungsprogrammierer,55400,0.1349789065003064,Hochspezialisierte Beschäftigte,Akademische Berufe
